"stockid","stocklong","country","region","lme_name","areaid","area","species","comm_name","msy_source","msy_code","msy_units","msy","year","uumsy","uumsy_source","uumsy_notes"
"BKINGCRABSMI","Blue king crab Saint Matthews Island","USA","US Alaska","East Bering Sea","USA-NMFS-SMI","Saint Matthews Island","Paralithodes platypus","Blue king crab","Estimated from Fox or Schaefer model","MSY-est-MT","MT",1150.867925,2008,0,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"BLACKGROUPERGMSATL","Black grouper Gulf of Mexico and South Atlantic","USA","US Southeast and Gulf","Gulf of Mexico","USA-NMFS-GMSATL","Gulf of Mexico and South Atlantic","Mycteroperca bonaci","Black grouper","Estimated from Fox or Schaefer model","MSY-est-MT","MT",488.993336,2008,0.5,"Assessment","FdivFmsy-calc-dimensionless"
"BLACKOREOPR","Black oreo Pukaki Rise","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-PR","Pukaki Rise","Allocyttus niger","Black oreo","Assessment","MSY-MT","MT",670,2009,1.53333333333333,"Assessment","ERdivERmsy-calc-dimensionless"
"BLACKOREOWECR","Black oreo West end of Chatham Rise","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-WECR","West end of Chatham Rise","Allocyttus niger","Black oreo","Assessment","MSY-MT","MT",1947,2007,0.395275614021787,"Assessment","ERdivERmsy-calc-dimensionless"
"BLACKROCKCAL","Black rockfish California","USA","US West Coast",NA,"USA-NMFS-CAL","California","Sebastes melanops","Black rockfish","Assessment","MSY-MT","MT",343,2014,1.068,"Assessment","FdivFmsy-calc-dimensionless"
"BLACKROCKORECOAST","Black rockfish Oregon Coast","USA","US West Coast",NA,"USA-NMFS-ORECOAST","Oregon Coast","Sebastes melanops","Black rockfish","Assessment","MSY-MT","MT",518,2014,0.834,"Assessment","FdivFmsy-calc-dimensionless"
"BLACKROCKWASH","Black rockfish Washington","USA","US West Coast",NA,"USA-NMFS-WASH","Washington","Sebastes melanops","Black rockfish","Estimated from Fox or Schaefer model","MSY-est-MT","MT",274.3377948,2014,1.072,"Assessment","FdivFmsy-calc-dimensionless"
"BLINGVb-VI-VII","Blue ling ICES 5b-6-7","multinational","European Union",NA,"multinational-ICES-Vb-VI-VII","ICES 5b-6-7","Molva dypterygia","Blue ling","Estimated from Fox or Schaefer model","MSY-est-MT","MT",10230.15702,2017,0.253333333333333,"Assessment","FdivFmsy-calc-dimensionless"
"BLKMARLINIO","Black marlin Indian Ocean","multinational","Indian Ocean","Indian Ocean","multinational-IOTC-IO","Indian Ocean","Istiompax indica","Black marlin","Assessment","MSY-MT","MT",8605,2011,1.11533573235854,"Assessment","ERdivERmsy-calc-dimensionless"
"BLSHARNPAC","Blue shark North Pacific Ocean","Multinational","Pacific Ocean",NA,"multinational-ISC-NPAC","North Pacific Ocean","Prionace glauca","Blue shark","Assessment","MSY-MT","MT",72123,2011,0.358,"Assessment","ERdivERmsy-dimensionless"
"BLTILESATLC","Blueline tilefish Southern Atlantic coast","USA","US Southeast and Gulf",NA,"USA-NMFS-SATLC","Southern Atlantic coast","Caulolatilus microps","Blueline tilefish","Assessment","MSY-MT","MT",102.7512886,2011,1.30132450331126,"Assessment","FdivFmsy-calc-dimensionless"
"BLUEFISHATLC","Bluefish Atlantic Coast","USA","US East Coast","Southeast U.S. Continental Shelf","USA-NMFS-ATLC","Atlantic Coast","Pomatomus saltatrix","Bluefish","Assessment","MSY-MT","MT",13967,2014,0.923529411764706,"Assessment","FdivFmsy-calc-dimensionless"
"BLUEROCKCAL","Blue rockfish California","USA","US West Coast","California Current","USA-NMFS-CAL","California","Sebastes mystinus","Blue rockfish","Assessment","MSY-MT","MT",275,2007,1.19106699751861,"Assessment","FdivFmsy-calc-dimensionless"
"BMACKECS","Spotted mackerel East China Sea","Japan","Japan","East China Sea","Japan-FAJ-ECS","East China Sea","Scomber australasicus","Spotted mackerel","Assessment","MSY-MT","MT",54757.32305,2013,0.968235744355146,"Assessment","ERdivERmsy-calc-dimensionless"
"BMACKPJPN","Spotted mackerel Pacific Coast of Japan","Japan","Japan","Kuroshio Current","Japan-FAJ-PJPN","Pacific Coast of Japan","Scomber australasicus","Spotted mackerel","Assessment","MSY-MT","MT",145655.7838,2013,0.345953635746386,"Assessment","ERdivERmsy-calc-dimensionless"
"BMARLINATL","Blue marlin Atlantic Ocean","multinational","Atlantic Ocean","North Atlantic Ocean","multinational-ICCAT-ATL","Atlantic Ocean","Makaira nigricans","Blue marlin","Assessment","MSY-MT","MT",2000,2010,3.90179367095443,"Assessment","ERdivERmsy-calc-dimensionless"
"BMARLINIO","Indo Pacific blue marlin Indian Ocean","multinational","Indian Ocean","Indian Ocean","multinational-IOTC-IO","Indian Ocean","Makaira mazara","Indo pacific blue marlin","Assessment","MSY-MT","MT",9524,2011,1.0053431318761,"Assessment","ERdivERmsy-calc-dimensionless"
"BMARLINPAC","Blue marlin Pacific Ocean","Multinational","Pacific Ocean","South Pacific Ocean","multinational-ISC-PAC","Pacific Ocean","Makaira nigricans","Blue marlin","Assessment","MSY-MT","MT",19459,2011,0.72,"Assessment","FdivFmsy-dimensionless"
"BNKROCKCAL","Bank rockfish California","USA","US West Coast","California Current","USA-NMFS-CAL","California","Sebastes rufus","Bank rockfish","Estimated from Fox or Schaefer model","MSY-est-MT","MT",560.2722491,1998,1.05347534790262,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"BNOSESHARATL","Blacknose shark Atlantic","USA","US Southeast and Gulf","Gulf of Mexico","USA-NMFS-ATL","Atlantic","Carcharhinus acronotus","Blacknose shark","Assessment","MSY-MT","MT",89.415,2009,4.7,"Assessment","FdivFmsy-calc-dimensionless"
"BNSNZ","Bluenose New Zealand","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-NZ","New Zealand","Hyperoglyphe antarctica","Bluenose","Assessment","MSY-MT","MT",1209,2011,2.5071312584881,"Assessment","ERdivERmsy-calc-dimensionless"
"BOCACCBCW","Bocaccio British Columbia Waters","Canada","Canada West Coast","Gulf of Alaska","Canada-DFO-BCW","British Columbia Waters","Sebastes paucispinis","Bocaccio","Estimated from Fox or Schaefer model","MSY-est-MT","MT",701.7519197,2012,2.73689645355504,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"BOCACCSPCOAST","Bocaccio Southern Pacific Coast","USA","US West Coast","California Current","USA-NMFS-SPCOAST","Southern Pacific Coast","Sebastes paucispinis","Bocaccio","Assessment","MSY-MT","MT",1347,2012,0.21,"Assessment","FdivFmsy-calc-dimensionless"
"BRNROCKPCOAST","Brown rockfish Pacific Coast","USA","US West Coast",NA,"USA-NMFS-PCOAST","Pacific Coast","Sebastes auriculatus","Brown rockfish","Assessment","MSY-MT","MT",149.9,2012,0.65631067961165,"Assessment","ERdivERmsy-calc-dimensionless"
"BRNSHRIMPGM","Brown shrimp Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico","USA-NMFS-GM","Gulf of Mexico","Farfantepenaeus aztecus","Brown shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",49081.75541,2014,0.0983552631578948,"Assessment","FdivFmsy-calc-dimensionless"
"BSBASSMATLC","Black sea bass Mid-Atlantic Coast","USA","US East Coast","Northeast U.S. Continental Shelf","USA-NMFS-MATLC","Mid-Atlantic Coast","Centropristis striata","Black sea bass","Assessment","MSY-MT","MT",3097,2015,0.391044806698178,"Assessment","ERdivERmsy-calc-dimensionless"
"BSBASSSATL","Black sea bass South Atlantic","USA","US Southeast and Gulf","Southeast U.S. Continental Shelf","USA-NMFS-SATL","South Atlantic","Centropristis striata","Black sea bass","Assessment","MSY-MT","MT",807.394472,2010,1.03700791279509,"Assessment","ERdivERmsy-calc-dimensionless"
