"stockid","stocklong","country","region","lme_name","areaid","area","species","comm_name","msy_source","msy_code","msy_units","msy","year","uumsy","uumsy_source","uumsy_notes"
"CODNEAR","Atlantic cod North-East Arctic","multinational","Europe non EU","Barents Sea","multinational-ICES-I-II","North-East Arctic","Gadus morhua","Atlantic cod","Estimated from Fox or Schaefer model","MSY-est-MT","MT",758785.1056,2017,1.0025,"Assessment","FdivFmsy-calc-dimensionless"
"CODVIa","Atlantic cod West of Scotland","multinational","European Union","Celtic-Biscay Shelf","multinational-ICES-VIa","West of Scotland","Gadus morhua","Atlantic cod","Estimated from Fox or Schaefer model","MSY-est-MT","MT",10789.51979,2016,5.65269461077844,"Assessment","FdivFmsy-calc-dimensionless"
"CODVIIek","Atlantic cod Celtic Sea","multinational","European Union","Celtic-Biscay Shelf","multinational-ICES-VIIe-k","Celtic Sea","Gadus morhua","Atlantic cod","Assessment","MSY-MT","MT",10300,2016,1.24362606232295,"Assessment","FdivFmsy-calc-dimensionless"
"COWCODSCAL","Cowcod Southern California","USA","US West Coast","California Current","USA-NMFS-SCAL","Southern California","Sebastes levis","Cowcod","Assessment","MSY-MT","MT",69,2015,0.0181818181818182,"Assessment","ERdivERmsy-calc-dimensionless"
"CPANDMEDGSA15-16","Common pandora Malta Island and South of Sicily (GSA 15, 16)","multinational","Mediterranean-Black Sea","Mediterranean Sea","multinational-GFCM-GSA15-16","Malta Island and South of Sicily (GSA 15, 16)","Pagellus erythrinus","Common pandora","Estimated from Fox or Schaefer model","MSY-est-MT","MT",174.5728493,2011,2.4,"Assessment","FdivFmgt-calc-dimensionless"
"CPRROCKPCOAST","Copper rockfish Pacific Coast","USA","US West Coast",NA,"USA-NMFS-PCOAST","Pacific Coast","Sebastes caurinus","Copper rockfish","Assessment","MSY-MT","MT",196.97,2012,0.332954545454545,"Assessment","ERdivERmsy-calc-dimensionless"
"CRLOBSTERSA12","West coast rock lobster South Africa Areas 1-2","South Africa","South Africa","Benguela Current","South Africa-DETMCM-1-2","South Africa Areas 1-2","Jasus lalandii","West coast rock lobster","Assessment","MSY-mvo-MT","MT",1250,2014,0.78936170212766,"Assessment","ERdivERmsy-calc-dimensionless"
"CRLOBSTERSA34","West coast rock lobster South Africa Areas 3-4","South Africa","South Africa","Benguela Current","South Africa-DETMCM-3-4","South Africa Areas 3-4","Jasus lalandii","West coast rock lobster","Assessment","MSY-mvo-MT","MT",3870,2014,0.8421875,"Assessment","ERdivERmsy-calc-dimensionless"
"CRLOBSTERSA56","West coast rock lobster South Africa Areas 5-6","South Africa","South Africa","Benguela Current","South Africa-DETMCM-5-6","South Africa Areas 5-6","Jasus lalandii","West coast rock lobster","Assessment","MSY-mvo-MT","MT",8680,2014,0.623913043478261,"Assessment","ERdivERmsy-calc-dimensionless"
"CRLOBSTERSA7","West coast rock lobster South Africa Area 7","South Africa","South Africa","Benguela Current","South Africa-DETMCM-7","South Africa Area 7","Jasus lalandii","West coast rock lobster","Assessment","MSY-mvo-MT","MT",7050,2014,0.454545454545455,"Assessment","ERdivERmsy-calc-dimensionless"
"CRLOBSTERSA8","West coast rock lobster South Africa Area 8","South Africa","South Africa","Benguela Current","South Africa-DETMCM-8","South Africa Area 8","Jasus lalandii","West coast rock lobster","Assessment","MSY-mvo-MT","MT",6800,2014,2.51,"Assessment","ERdivERmsy-calc-dimensionless"
"CROCKPCOAST","Canary rockfish Pacific Coast","USA","US West Coast","California Current","USA-NMFS-PCOAST","Pacific Coast","Sebastes pinniger","Canary rockfish","Assessment","MSY-MT","MT",1226,2014,0.0512,"Assessment","FdivFmsy-calc-dimensionless"
"CROCKWCVANISOGQCI","Canary rockfish West Coast of Vancouver Island and Strait of Georgia and Queen Charlotte Islands","Canada","Canada West Coast","Gulf of Alaska","Canada-DFO-WCVANI-SOG-QCI","West Coast of Vancouver Island and Strait of Georgia and Queen Charlotte Islands","Sebastes pinniger","Canary rockfish","Assessment","MSY-MT","MT",713.7922747,2009,0.737704918032787,"Assessment","ERdivERmsy-calc-dimensionless"
"CSARDCSCH","Chilean sardine Central-Southern Chile","Chile","South America",NA,"Chile-SUBPESCA-CH-CS","Central-Southern Chile","Strangomera bentincki","Chilean sardine","Estimated from Fox or Schaefer model","MSY-est-MT","MT",501516.0048,2015,0.64,"Assessment","FdivFmsy-dimensionless"
"CTRACSA","Cape horse mackerel South Africa South coast","South Africa","South Africa","Agulhas Current","South Africa-DETMCM-SASC","South Africa South coast","Trachurus capensis","Cape horse mackerel","Assessment","MSY-MT","MT",72924.09,2012,0.170833333333333,"Assessment","ERdivERmsy-calc-dimensionless"
"CUSKVa-XIV","Tusk ICES 5a-14","multinational","European Union",NA,"multinational-ICES-Va-XIV","ICES 5a-14","Brosme brosme","Tusk","Estimated from Fox or Schaefer model","MSY-est-MT","MT",8433.747438,2016,0.807692307692308,"Assessment","ERdivERmgt-calc-dimensionless"
"DEEPCHAKESA","Deep water cape hake South Africa","South Africa","South Africa","Benguela Current","South Africa-DETMCM-SA","South Africa","Merluccius paradoxus","Deep water cape hake","Assessment","MSY-MT","MT",118900,2015,1.14,"Assessment","ERdivERmsy-dimensionless"
"DEEPFLATHEADSE","Deepwater flathead Southeast Australia","Australia","Australia","South West Australian Shelf","Australia-AFMA-SE","Southeast Australia","Platycephalus conatus","Deepwater flathead","Assessment","MSY-MT","MT",1200.123574,2015,0.300224008212223,"Assessment","FdivFmsy-calc-dimensionless"
"DKROCKPCOAST","Darkblotched rockfish Pacific Coast","USA","US West Coast","California Current","USA-NMFS-PCOAST","Pacific Coast","Sebastes crameri","Darkblotched rockfish","Assessment","MSY-MT","MT",674,2014,0.226,"Assessment","FdivFmsy-calc-dimensionless"
"DSOLEGA","Dover sole Gulf of Alaska","USA","US Alaska","Gulf of Alaska","USA-NMFS-GA","Gulf of Alaska","Microstomus pacificus","Dover sole","Estimated from Fox or Schaefer model","MSY-est-MT","MT",3112.016785,2009,0.0483221476510067,"Assessment","FdivFmsy-calc-dimensionless"
"DSOLEPCOAST","Dover sole Pacific Coast","USA","US West Coast","California Current","USA-NMFS-PCOAST","Pacific Coast","Microstomus pacificus","Dover sole","Assessment","MSY-MT","MT",34757,2010,0.129770992366412,"Assessment","ERdivERmsy-calc-dimensionless"
"DUSROCKGA","Dusky rockfish Gulf of Alaska","USA","US Alaska","Gulf of Alaska","USA-NMFS-GA","Gulf of Alaska","Sebastes variabilis","Dusky rockfish","Estimated from Fox or Schaefer model","MSY-est-MT","MT",3740.299445,2009,0.545977011494253,"Assessment","FdivFmsy-calc-dimensionless"
"ESOLEHS","English sole Hecate Strait","Canada","Canada West Coast","Gulf of Alaska","Canada-DFO-HS","Hecate Strait","Parophrys vetulus","English sole","Estimated from Fox or Schaefer model","MSY-est-MT","MT",905.2189392,2001,0.360804814768723,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"ESOLEPCOAST","English sole Pacific Coast","USA","US West Coast","California Current","USA-NMFS-PCOAST","Pacific Coast","Parophrys vetulus","English sole","Assessment","MSY-MT","MT",3875,2012,0.0528571428571429,"Assessment","FdivFmsy-calc-dimensionless"
"EULAPCOASTCCDU","Eulachon Pacific Coast of Canada Central Coast Designatable Unit","Canada","Canada West Coast","Gulf of Alaska","Canada-DFO-PCOASTCCDU","Pacific Coast of Canada Central Coast Designatable Unit","Thaleichthys pacificus","Eulachon","Estimated from Fox or Schaefer model","MSY-est-MT","MT",25.68712928,2007,0.131237646246017,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"EULAPCOASTFRDU","Eulachon Pacific Coast of Canada Fraser River Designatable Unit","Canada","Canada West Coast","Gulf of Alaska","Canada-DFO-PCOASTFRDU","Pacific Coast of Canada Fraser River Designatable Unit","Thaleichthys pacificus","Eulachon","Assessment","MSY-MT","MT",112,2012,0.00453353895410341,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"EULAPCOASTNSDU","Eulachon Pacific Coast of Canada Nass / Skeena Designatable Unit","Canada","Canada West Coast","Gulf of Alaska","Canada-DFO-PCOASTNSDU","Pacific Coast of Canada Nass / Skeena Designatable Unit","Thaleichthys pacificus","Eulachon","Estimated from Fox or Schaefer model","MSY-est-MT","MT",26.73288203,2009,0.000855940900763454,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"FLSOLEBSAI","Flathead sole Bering Sea and Aleutian Islands","USA","US Alaska","East Bering Sea","USA-NMFS-BSAI","Bering Sea and Aleutian Islands","Hippoglossoides elassodon","Flathead sole","Estimated from Fox or Schaefer model","MSY-est-MT","MT",60864.94096,2010,0.166374269005848,"Assessment","FdivFmsy-calc-dimensionless"
"FLSOLEGA","Flathead sole Gulf of Alaska","USA","US Alaska","Gulf of Alaska","USA-NMFS-GA","Gulf of Alaska","Hippoglossoides elassodon","Flathead sole","Estimated from Fox or Schaefer model","MSY-est-MT","MT",8873.396975,2009,0.035966735966736,"Assessment","FdivFmsy-calc-dimensionless"
"FMEG8c9a","Fourspotted megrim ICES 8c-9a","multinational","European Union","Iberian Coastal","multinational-ICES-VIIIc-IXa","ICES 8c-9a","Lepidorhombus boscii","Fourspotted megrim","Estimated from Fox or Schaefer model","MSY-est-MT","MT",2137.941318,2017,0.917098445595855,"Assessment","FdivFmsy-calc-dimensionless"
"GAGGM","Gag Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico","USA-NMFS-GM","Gulf of Mexico","Mycteroperca microlepis","Gag","Estimated from Fox or Schaefer model","MSY-est-MT","MT",1027.192242,2012,0.768518518518519,"Assessment","FdivFmsy-calc-dimensionless"
"GAGSATLC","Gag Southern Atlantic coast","USA","US Southeast and Gulf","Southeast U.S. Continental Shelf","USA-NMFS-SATLC","Southern Atlantic coast","Mycteroperca microlepis","Gag","Assessment","MSY-MT","MT",425.5603897,2004,1.36271186440678,"Assessment","FdivFmsy-calc-dimensionless"
"GEMFISHNZ","Common gemfish New Zealand","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-NZ","New Zealand","Rexea solandri","Common gemfish","Assessment","MSY-MT","MT",1432.042733,2006,0.163836168943765,"Assessment","ERdivERmsy-calc-dimensionless"
"GEMFISHSE","Common gemfish Southeast Australia","Australia","Australia","South West Australian Shelf","Australia-AFMA-SE","Southeast Australia","Rexea solandri","Common gemfish","Estimated from Fox or Schaefer model","MSY-est-MT","MT",1996.304542,2007,0.221527060682164,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"GHAL23KLMNO","Greenland halibut Labrador Shelf - Grand Banks","multinational","Canada East Coast","Labrador - Newfoundland","multinational-NAFO-23KLMNO","Labrador Shelf - Grand Banks","Reinhardtius hippoglossoides","Greenland halibut","Estimated from Fox or Schaefer model","MSY-est-MT","MT",35149.15235,2006,1.78859615924152,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"GHAL4RST","Greenland halibut Gulf of St. Lawrence","Canada","Canada East Coast","Labrador - Newfoundland","Canada-DFO-4RST","Gulf of St. Lawrence","Reinhardtius hippoglossoides","Greenland halibut","Estimated from Fox or Schaefer model","MSY-est-MT","MT",4672.097373,2010,3.29928980718788,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"GHALNEAR","Greenland halibut North-East Arctic","multinational","Europe non EU","Barents Sea","multinational-ICES-I-II","North-East Arctic","Reinhardtius hippoglossoides","Greenland halibut","Estimated from Fox or Schaefer model","MSY-est-MT","MT",38270.74573,2016,0.359859892111118,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"GOPHERSPCOAST","Gopher rockfish Southern Pacific Coast","USA","US West Coast","California Current","USA-NMFS-SPCOAST","Southern Pacific Coast","Sebastes carnatus","Gopher rockfish","Assessment","MSY-MT","MT",101,2004,0.191,"Assessment","ERdivERmsy-calc-dimensionless"
"GPOCTOGA","Giant Pacific octopus Gulf of Alaska","USA","US Alaska",NA,"USA-NMFS-GA","Gulf of Alaska","Enteroctopus dofleini","Giant pacific octopus","Estimated from Fox or Schaefer model","MSY-est-MT","MT",717.062635,2014,0.764394805209749,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"GRAMBERGM","Greater amberjack Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico","USA-NMFS-GM","Gulf of Mexico","Seriola dumerili","Greater amberjack","Assessment","MSY-MT","MT",1632.93264,2012,1.15909090909091,"Assessment","ERdivERmsy-calc-dimensionless"
"GRAMBERSATLC","Greater amberjack Southern Atlantic coast","USA","US Southeast and Gulf","Southeast U.S. Continental Shelf","USA-NMFS-SATLC","Southern Atlantic coast","Seriola dumerili","Greater amberjack","Assessment","MSY-MT","MT",909.45,2006,0.298662775738561,"Assessment","ERdivERmsy-calc-dimensionless"
"GRNSTROCKPCOAST","Greenstriped rockfish Pacific Coast","USA","US West Coast","California Current","USA-NMFS-PCOAST","Pacific Coast","Sebastes elongatus","Greenstriped rockfish","Assessment","MSY-MT","MT",803,2009,0.00439882697947214,"Assessment","ERdivERmsy-calc-dimensionless"
"GRSHRIMPMEDGSA10","Giant red shrimp South Tyrrhenian Sea","multinational","Mediterranean-Black Sea","Mediterranean Sea","multinational-GFCM-GSA10","South Tyrrhenian Sea","Aristaeomorpha foliacea","Giant red shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",408.2609963,2014,1.39692307692308,"Assessment","FdivFmgt-calc-dimensionless"
"GRSHRIMPMEDGSA18-19","Giant red shrimp South Adriatic Sea and West Ionian Sea (GSA 18,19)","multinational","Mediterranean-Black Sea","Mediterranean Sea","multinational-GFCM-GSA18-19","South Adriatic Sea and West Ionian Sea (GSA 18,19)","Aristaeomorpha foliacea","Giant red shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",860.4010046,2014,1.10238095238095,"Assessment","FdivFmgt-calc-dimensionless"
"GRSHRIMPMEDGSA9","Giant red shrimp Ligurian and North Tyrrhenian Sea","multinational","Mediterranean-Black Sea","Mediterranean Sea","multinational-GFCM-GSA9","Ligurian and North Tyrrhenian Sea","Aristaeomorpha foliacea","Giant red shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",66.16636688,2014,0.26078431372549,"Assessment","FdivFmgt-calc-dimensionless"
"GRSPROCKNCAL","Greenspotted rockfish Northern Pacific Coast","USA","US West Coast","California Current","USA-NMFS-NPCOAST","Northern Pacific Coast","Sebastes chlorostictus","Greenspotted rockfish","Assessment","MSY-MT","MT",58.8,2010,0,"Assessment","ERdivERmsy-calc-dimensionless"
"GRSPROCKSCAL","Greenspotted rockfish Southern Pacific Coast","USA","US West Coast","California Current","USA-NMFS-SPCOAST","Southern Pacific Coast","Sebastes chlorostictus","Greenspotted rockfish","Assessment","MSY-MT","MT",55.9,2010,0.116666666666667,"Assessment","ERdivERmsy-calc-dimensionless"
"GSTRGZRSTA7","Giant stargazer NZ Area STA7","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-STA7","NZ Area STA7","Kathetostoma giganteum","Giant stargazer","Assessment","MSY-MT","MT",608,2007,1.09773552219206,"Assessment","ERdivERmsy-calc-dimensionless"
"GTRIGGM","Gray triggerfish Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico","USA-NMFS-GM","Gulf of Mexico","Balistes capriscus","Gray triggerfish","Assessment","MSY-MT","MT",446.5205007,2013,0.69281045751634,"Assessment","FdivFmsy-calc-dimensionless"
"HAD3LNO","Haddock Grand Banks","multinational","Canada East Coast","Labrador - Newfoundland","multinational-NAFO-3LNO","Grand Banks","Melanogrammus aeglefinus","Haddock","Estimated from Fox or Schaefer model","MSY-est-MT","MT",2925.90428,2013,0.00333948170207409,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"HAD4X5Y","Haddock Western Scotian Shelf, Bay of Fundy and Gulf of Maine","Canada","Canada East Coast","Northeast U.S. Continental Shelf","Canada-DFO-4X5Y","Western Scotian Shelf, Bay of Fundy and Gulf of Maine","Melanogrammus aeglefinus","Haddock","Estimated from Fox or Schaefer model","MSY-est-MT","MT",17344.10318,2013,0.262987645587086,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"HAD5Y","Haddock Gulf of Maine","USA","US East Coast","Northeast U.S. Continental Shelf","USA-NMFS-5Y","Gulf of Maine","Melanogrammus aeglefinus","Haddock","Assessment","MSY-MT","MT",1083,2014,0.549145299145299,"Assessment","FdivFmsy-calc-dimensionless"
"HADFAPL","Haddock Faroe Plateau","multinational","Europe non EU","Faroe Plateau","multinational-ICES-Vb1","Faroe Plateau","Melanogrammus aeglefinus","Haddock","Assessment","MSY-MT","MT",35000,2017,1.38181818181818,"Assessment","FdivFmsy-calc-dimensionless"
"HADGB","Haddock Georges Bank","USA","US East Coast","Northeast U.S. Continental Shelf","USA-NMFS-GB","Georges Bank","Melanogrammus aeglefinus","Haddock","Assessment","MSY-MT","MT",24900,2014,0.615384615384615,"Assessment","FdivFmsy-calc-dimensionless"
"HADICE","Haddock Iceland Grounds","multinational","Europe non EU","Iceland Shelf and Sea","multinational-ICES-Va","Iceland Grounds","Melanogrammus aeglefinus","Haddock","Estimated from Fox or Schaefer model","MSY-est-MT","MT",84928.19168,2016,0.93,"Assessment","FdivFmgt-calc-dimensionless"
"HADNEAR","Haddock North-East Arctic","multinational","Europe non EU","Barents Sea","multinational-ICES-I-II","North-East Arctic","Melanogrammus aeglefinus","Haddock","Estimated from Fox or Schaefer model","MSY-est-MT","MT",215805.8509,2016,0.571428571428572,"Assessment","FdivFmsy-calc-dimensionless"
"HADROCK","Haddock Rockall Bank","multinational","European Union","Celtic-Biscay Shelf","multinational-ICES-VIb","Rockall Bank","Melanogrammus aeglefinus","Haddock","Assessment","MSY-MT","MT",9000,2016,0.505,"Assessment","FdivFmsy-calc-dimensionless"
"HADVIIb-k","Haddock ICES 7b-k","multinational","European Union","Celtic-Biscay Shelf","multinational-ICES-VIIb-k","ICES 7b-k","Melanogrammus aeglefinus","Haddock","Estimated from Fox or Schaefer model","MSY-est-MT","MT",20136.57983,2016,1.685,"Assessment","FdivFmsy-calc-dimensionless"
"HAKEMEDGSA1-7","Hake Geographical Sub-Areas 1-7","multinational","Mediterranean-Black Sea","Mediterranean Sea","multinational-GFCM-GSA1-7","Geographical Sub-Areas 1-7","Merluccius merluccius","Hake","Estimated from Fox or Schaefer model","MSY-est-MT","MT",7562.576858,2014,2.87179487179487,"Assessment","FdivFmgt-calc-dimensionless"
"HAKEMEDGSA19","Hake Western Ionian Sea","multinational","Mediterranean-Black Sea","Mediterranean Sea","multinational-GFCM-GSA19","Western Ionian Sea","Merluccius merluccius","Hake","Estimated from Fox or Schaefer model","MSY-est-MT","MT",1092.765948,2014,4.86111111111111,"Assessment","FdivFmgt-calc-dimensionless"
"HAKEMEDGSA7","Hake Gulf of Lions","multinational","Mediterranean-Black Sea",NA,"multinational-GFCM-GSA7","Gulf of Lions","Merluccius merluccius","Hake","Estimated from Fox or Schaefer model","MSY-est-MT","MT",2271.695574,2012,16.7272727272727,"Assessment","FdivFmgt-calc-dimensionless"
"HAKEMEDGSA9-11","Hake Geographical Sub-Areas 9-11","multinational","Mediterranean-Black Sea","Mediterranean Sea","multinational-GFCM-GSA9-11","Geographical Sub-Areas 9-11","Merluccius merluccius","Hake","Estimated from Fox or Schaefer model","MSY-est-MT","MT",3383.789015,2014,5.25,"Assessment","FdivFmgt-calc-dimensionless"
"HAKENRTN","Hake ICES 3a-4-6-7-8abd","multinational","European Union","Celtic-Biscay Shelf","multinational-ICES-IIIa-IV-VI-VII-VIIIabd","ICES 3a-4-6-7-8abd","Merluccius merluccius","Hake","Estimated from Fox or Schaefer model","MSY-est-MT","MT",106752.4857,2017,0.892857142857143,"Assessment","FdivFmsy-calc-dimensionless"
"HAKESOTH","Hake ICES 8c-9a","multinational","European Union","Iberian Coastal","multinational-ICES-VIIIc-IXa","ICES 8c-9a","Merluccius merluccius","Hake","Estimated from Fox or Schaefer model","MSY-est-MT","MT",17849.16345,2017,1.76,"Assessment","FdivFmsy-calc-dimensionless"
"HERR4RFA","Herring NAFO division 4R (Fall spawners)","Canada","Canada East Coast","Labrador - Newfoundland","Canada-DFO-4RFS","NAFO division 4R (Fall spawners)","Clupea harengus","Herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",8808.330395,2002,0.337546101234243,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"HERR4RSP","Herring NAFO division 4R (Spring spawners)","Canada","Canada East Coast","Labrador - Newfoundland","Canada-DFO-4RSS","NAFO division 4R (Spring spawners)","Clupea harengus","Herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",12170.53205,2002,0.792004718824282,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"HERR4TFA","Herring Southern Gulf of St. Lawrence (Fall spawners)","Canada","Canada East Coast","Scotian Shelf","Canada-DFO-4TFS","Southern Gulf of St. Lawrence (Fall spawners)","Clupea harengus","Herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",69893.64993,2013,0.543068251268441,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"HERR4TSP","Herring Southern Gulf of St. Lawrence (Spring spawners)","Canada","Canada East Coast","Scotian Shelf","Canada-DFO-4TSS","Southern Gulf of St. Lawrence (Spring spawners)","Clupea harengus","Herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",20399.80111,2013,0.22083805044873,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"HERR4VWX","Herring Scotian Shelf and Bay of Fundy","Canada","Canada East Coast","Scotian Shelf","Canada-DFO-4VWX","Scotian Shelf and Bay of Fundy","Clupea harengus","Herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",131890.0602,2012,0.256967666183451,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"HERRCC","Pacific herring Central Coast","Canada","Canada West Coast","Gulf of Alaska","Canada-DFO-CC","Central Coast","Clupea pallasii pallasii","Pacific herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",12613.79719,2016,0.0359970708906066,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"HERRIsum","Herring Iceland (Summer spawners)","multinational","Europe non EU","Iceland Shelf and Sea","multinational-ICES-VaSS","Iceland (Summer spawners)","Clupea harengus","Herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",107089.3369,2017,0.522727272727273,"Assessment","FdivFmsy-calc-dimensionless"
"HERRNIRS","Herring Irish Sea","multinational","European Union","Celtic-Biscay Shelf","multinational-ICES-VIIa","Irish Sea","Clupea harengus","Herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",19292.24497,2017,0.556390977443609,"Assessment","FdivFmsy-calc-dimensionless"
"HERRNS-IIIa-VIId","Herring ICES 3a-4-7d","multinational","European Union",NA,"multinational-ICES-IIIa-IV-VIId","ICES 3a-4-7d","Clupea harengus","Herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",583070.9329,2017,0.811538461538461,"Assessment","FdivFmsy-calc-dimensionless"
"HERRNWATLC","Herring Northwestern Atlantic Coast","USA","US East Coast","Northeast U.S. Continental Shelf","USA-NMFS-NWATLC","Northwestern Atlantic Coast","Clupea harengus","Herring","Assessment","MSY-MT","MT",77247,2014,0.666666666666667,"Assessment","FdivFmsy-calc-dimensionless"
"HERRPRD","Pacific herring Prince Rupert District","Canada","Canada West Coast","Gulf of Alaska","Canada-DFO-PRD","Prince Rupert District","Clupea pallasii pallasii","Pacific herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",14106.65949,2016,0.414929817464402,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"HERRPWS","Pacific herring Prince William Sound","USA","US Alaska","Gulf of Alaska","USA-AKSTATE-PWS","Prince William Sound","Clupea pallasii pallasii","Pacific herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",7111.250341,2006,0,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"HERRQCI","Pacific herring Queen Charlotte Islands","Canada","Canada West Coast","Gulf of Alaska","Canada-DFO-QCI","Queen Charlotte Islands","Clupea pallasii pallasii","Pacific herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",9126.319991,2016,0,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"HERRRIGA","Herring Gulf of Riga East of Gotland","multinational","European Union","Baltic Sea","multinational-ICES-28","Gulf of Riga East of Gotland","Clupea harengus","Herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",28735.84159,2017,1.003125,"Assessment","FdivFmsy-calc-dimensionless"
"HERRSIRS","Herring ICES 7a-g-h-j","multinational","European Union","Celtic-Biscay Shelf","multinational-ICES-VIIa-g-h-j","ICES 7a-g-h-j","Clupea harengus","Herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",23196.12506,2017,1.58076923076923,"Assessment","FdivFmsy-calc-dimensionless"
"HERRSOG","Pacific herring Strait of Georgia","Canada","Canada West Coast","Gulf of Alaska","Canada-DFO-SOG","Strait of Georgia","Clupea pallasii pallasii","Pacific herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",29941.91169,2016,0.445271981553805,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"HERRTOG","Pacific herring Togiak District","USA","US Alaska","East Bering Sea","USA-AKSTATE-TOG","Togiak District","Clupea pallasii pallasii","Pacific herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",42397.48641,2010,0.288306543662388,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"HERRVIa","Herring West of Scotland","multinational","European Union","Celtic-Biscay Shelf","multinational-ICES-VIa","West of Scotland","Clupea harengus","Herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",91953.12976,2013,1.34,"Assessment","FdivFmgt-calc-dimensionless"
"HERRVIaVIIbc","Herring ICES 5a-7bc","multinational","European Union","Celtic-Biscay Shelf","multinational-ICES-VIa-VIIb-VIIc","ICES 5a-7bc","Clupea harengus","Herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",63751.55866,2017,0.380625,"Assessment","FdivFmsy-calc-dimensionless"
"HERRWCVANI","Pacific herring West Coast of Vancouver Island","Canada","Canada West Coast","Gulf of Alaska","Canada-DFO-WCVANI","West Coast of Vancouver Island","Clupea pallasii pallasii","Pacific herring","Estimated from Fox or Schaefer model","MSY-est-MT","MT",12522.99864,2016,0,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"HMACKIIa-IVa-Vb-VIa-VII-VIII","Horse mackerel ICES 2a-4a-5b-6a-7-8","multinational","European Union",NA,"multinational-ICES-IIa-IVa-Vb-VIa-VII-VIII","ICES 2a-4a-5b-6a-7-8","Trachurus trachurus","Horse mackerel","Estimated from Fox or Schaefer model","MSY-est-MT","MT",277614.1016,2016,0.827777777777778,"Assessment","FdivFmsy-calc-dimensionless"
"HMACKIXa","Horse mackerel Portugese Waters -East","multinational","European Union",NA,"multinational-ICES-IXa","Portugese Waters -East","Trachurus trachurus","Horse mackerel","Estimated from Fox or Schaefer model","MSY-est-MT","MT",49332.49737,2016,0.703636363636364,"Assessment","FdivFmsy-calc-dimensionless"
"HMACKWA","Horse mackerel West Africa","multinational","West Africa","Canary Current","multinational-FAO-WA","West Africa","Trachurus trachurus","Horse mackerel","Estimated from Fox or Schaefer model","MSY-est-MT","MT",97254.46001,2010,2.32258064516129,"Assessment","FdivFmsy-calc-dimensionless"
"HOKIENZ","Hoki Eastern New Zealand","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-ENZ","Eastern New Zealand","Macruronus novaezelandiae","Hoki","Assessment","MSY-MT","MT",73100,2015,0.3,"Assessment","ERdivERmsy-dimensionless"
"HOKIWNZ","Hoki Western New Zealand","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-WNZ","Western New Zealand","Macruronus novaezelandiae","Hoki","Assessment","MSY-MT","MT",119800,2015,0.616,"Assessment","ERdivERmsy-dimensionless"
