"species","resilience"
"Acanthurus lineatus","Medium"
"Acanthurus maculiceps","Medium"
"Acanthurus mata","Low"
"Acanthurus monroviae","Medium"
"Acanthurus nigricans","Very low"
"Acanthurus nigricauda","High"
"Acanthurus nigrofuscus","Medium"
"Acanthurus nigroris","High"
"Acanthurus nubilus","High"
"Acanthurus olivaceus","High"
"Acanthurus polyzona","High"
"Acanthurus pyroferus","Medium"
"Acanthurus randalli","High"
"Acanthurus reversus","Medium"
"Acanthurus sohal","Medium"
"Acanthurus tennentii","High"
"Acanthurus thompsoni","High"
"Acanthurus tractus","Very low"
"Acanthurus triostegus","Medium"
"Acanthurus tristis","High"
"Acanthurus xanthopterus","Low"
"Acantopsis dialuzona","Medium"
"Acantopsis dinema","High"
"Acantopsis ioa","Medium"
"Acantopsis multistigmatus","Medium"
"Acantopsis octoactinotos","High"
"Acantopsis rungthipae","Medium"
"Acantopsis spectabilis","Medium"
"Acantopsis thiemmedhi","High"
"Acapoeta tanganicae","Low"
"Acarichthys heckelii","High"
"Acarobythites larsonae","Low"
"Acaronia nassa","High"
"Acaronia vultuosa","High"
"Acentrogobius audax","High"
"Acentrogobius caninus","High"
"Acentrogobius cenderawasih","High"
"Acentrogobius chlorostigmatoides","High"
"Acentrogobius cyanomos","High"
"Acentrogobius dayi","High"
"Acentrogobius ennorensis","High"
"Acentrogobius griseus","High"
"Acentrogobius janthinopterus","High"
"Acentrogobius limarius","High"
"Acentrogobius masoni","High"
"Acentrogobius moloanus","High"
"Acentrogobius multifasciatus","High"
"Acentrogobius nebulosus","Medium"
"Acentrogobius pellidebilis","High"
"Acentrogobius pflaumii","High"
"Acentrogobius simplex","High"
"Acentrogobius suluensis","High"
"Acentrogobius therezieni","High"
"Acentrogobius vanderloosi","High"
"Acentrogobius viganensis","High"
"Acentrogobius violarisi","High"
"Acentrogobius viridipunctatus","High"
"Acentronichthys leptos","High"
"Acentronura breviperula","High"
"Acentronura gracilissima","High"
"Acentronura tentaculata","High"
"Acestridium colombiense","High"
"Acestridium dichromum","High"
"Acestridium discus","High"
"Acestridium martini","High"
"Acestridium triplax","High"
"Acestrorhynchus abbreviatus","High"
"Acestrorhynchus altus","High"
"Acestrorhynchus britskii","High"
"Acestrorhynchus falcatus","High"
"Acestrorhynchus falcirostris","Medium"
"Acestrorhynchus grandoculis","High"
"Acestrorhynchus heterolepis","Medium"
"Acestrorhynchus isalineae","High"
"Acestrorhynchus lacustris","Medium"
"Acestrorhynchus maculipinna","High"
"Acestrorhynchus microlepis","Medium"
"Acestrorhynchus minimus","High"
"Acestrorhynchus nasutus","High"
"Acestrorhynchus pantaneiro","Medium"
"Acetes japonicus","High"
"Acheilognathus asmussii","Medium"
"Acheilognathus barbatulus","Medium"
"Acheilognathus barbatus","Medium"
"Acheilognathus binidentatus","Medium"
"Acheilognathus brevicaudatus","Medium"
"Acheilognathus changtingensis","High"
"Acheilognathus coreanus","High"
"Acheilognathus cyanostigma","Medium"
"Acheilognathus deignani","Medium"
"Acheilognathus elongatoides","Medium"
"Acheilognathus elongatus","Medium"
"Acheilognathus fasciodorsalis","Medium"
"Acheilognathus gracilis","Medium"
"Acheilognathus hondae","Medium"
"Acheilognathus hypselonotus","Medium"
"Acheilognathus imberbis","Medium"
"Acheilognathus imfasciodorsalis","Medium"
"Acheilognathus intermedia","High"
"Acheilognathus kyphus","Medium"
"Acheilognathus longibarbatus","Medium"
"Acheilognathus longipinnis","Medium"
"Acheilognathus macromandibularis","Medium"
"Acheilognathus macropterus","Medium"
"Acheilognathus majusculus","Medium"
"Acheilognathus melanogaster","Medium"
"Acheilognathus meridianus","Medium"
"Acheilognathus microphysa","Medium"
"Acheilognathus nguyenvanhaoi","High"
"Acheilognathus omeiensis","Medium"
"Acheilognathus peihoensis","Medium"
"Acheilognathus polylepis","Medium"
"Acheilognathus polyspinus","Medium"
"Acheilognathus rhombeus","Medium"
"Acheilognathus striatus","High"
"Acheilognathus tabira","Medium"
"Acheilognathus taenianalis","Medium"
"Acheilognathus tonkinensis","Medium"
"Acheilognathus typus","Medium"
"Acheilognathus yamatsutae","Medium"
"Achiroides leucorhynchos","High"
"Achiroides melanorhynchus","High"
"Achirus achirus","Medium"
"Achirus declivis","High"
"Achirus klunzingeri","Medium"
"Achirus lineatus","Medium"
"Achirus mazatlanus","High"
"Achirus mucuri","High"
"Achirus novoae","Medium"
"Achirus scutum","Medium"
"Achirus zebrinus","Medium"
"Achoerodus gouldii","Low"
"Achoerodus viridis","Low"
"Achondrostoma arcasii","Medium"
"Achondrostoma occidentale","High"
"Achondrostoma oligolepis","Medium"
"Achondrostoma salmantinum","High"
"Acipenser baerii","Very low"
"Acipenser brevirostrum","Very low"
"Acipenser dabryanus","Very low"
"Acipenser fulvescens","Very low"
"Acipenser gueldenstaedtii","Very low"
"Acipenser medirostris","Low"
"Acipenser mikadoi","Very low"
"Acipenser naccarii","Very low"
"Acipenser nudiventris","Low"
"Acipenser oxyrinchus","Very low"
"Acipenser persicus","Very low"
"Acipenser ruthenus","Low"
"Acipenser schrenckii","Very low"
"Acipenser sinensis","Very low"
"Acipenser stellatus","Low"
"Acipenser sturio","Very low"
"Acipenser transmontanus","Very low"
"Acnodon normani","High"
"Acnodon oligacanthus","High"
"Acnodon senai","High"
"Acreichthys hajam","High"
"Acreichthys radiatus","High"
"Acreichthys tomentosus","High"
"Acrocheilus alutaceus","Medium"
"Acrochordonichthys chamaeleon","High"
"Acrochordonichthys falcifer","High"
"Acrochordonichthys guttatus","High"
"Acrochordonichthys mahakamensis","High"
"Acrochordonichthys strigosus","High"
"Acromycter alcocki","Medium"
"Acromycter atlanticus","Medium"
"Acromycter longipectoralis","High"
"Acromycter nezumi","Medium"
"Acromycter perturbator","High"
"Acropoma argentistigma","High"
"Acropoma boholensis","High"
"Acropoma hanedai","High"
"Acropoma japonicum","Medium"
"Acropoma lecorneti","Medium"
"Acropoma profundum","High"
"Acrossocheilus aluoiensis","Medium"
"Acrossocheilus baolacensis","Medium"
"Acrossocheilus beijiangensis","High"
"Acrossocheilus clivosius","Medium"
"Acrossocheilus fasciatus","Medium"
"Acrossocheilus hemispinus","Medium"
"Acrossocheilus ikedai","High"
"Acrossocheilus iridescens","Medium"
"Acrossocheilus jishouensis","Medium"
"Acrossocheilus kreyenbergii","Medium"
"Acrossocheilus lamus","Medium"
"Acrossocheilus longipinnis","Medium"
"Acrossocheilus macrophthalmus","Medium"
"Acrossocheilus malacopterus","Medium"
"Acrossocheilus microstoma","Medium"
"Acrossocheilus monticola","Medium"
"Acrossocheilus multistriatus","High"
"Acrossocheilus paradoxus","Medium"
"Acrossocheilus parallens","Medium"
"Acrossocheilus rendahli","Medium"
"Acrossocheilus spinifer","Medium"
"Acrossocheilus wenchowensis","Medium"
"Acrossocheilus wuyiensis","High"
"Acrossocheilus xamensis","Medium"
"Acrossocheilus yalyensis","Medium"
"Acrossocheilus yunnanensis","Medium"
"Acroteriobatus annulatus","Very low"
"Acroteriobatus blochii","Low"
"Acroteriobatus leucospilus","Very low"
"Acroteriobatus ocellatus","Low"
"Acroteriobatus omanensis","Medium"
"Acroteriobatus salalah","Low"
"Acroteriobatus variegatus","Low"
"Acroteriobatus zanzibarensis","Low"
"Aculeola nigra","Very low"
"Acyrtops amplicirrus","High"
"Acyrtops beryllinus","High"
"Acyrtus artius","High"
"Acyrtus lanthanum","High"
"Acyrtus pauciradiatus","High"
"Acyrtus rubiginosus","High"
"Adelosebastes latens","Low"
"Adelotremus deloachi","High"
"Adelotremus leptus","High"
"Adrianichthys oophorus","High"
"Adrianichthys roseni","High"
"Aeoliscus punctulatus","High"
"Aeoliscus strigatus","High"
"Aequidens chimantanus","Medium"
"Aequidens diadema","Medium"
"Aequidens epae","Medium"
"Aequidens gerciliae","Medium"
"Aequidens mauesanus","Medium"
"Aequidens metae","Medium"
"Aequidens michaeli","Medium"
"Aequidens pallidus","Medium"
"Aequidens paloemeuensis","Medium"
"Aequidens patricki","Medium"
"Aequidens plagiozonatus","Medium"
"Aequidens potaroensis","Medium"
"Aequidens rondoni","Medium"
"Aequidens tetramerus","Medium"
"Aequidens tubicen","Medium"
"Aequidens viridis","Medium"
"Aesopia cornuta","Medium"
"Aethaloperca rogaa","Medium"
"Aetheliparis taurocanis","High"
"Aethotaxis mitopteryx mitopteryx","Very low"
"Aethotaxis mitopteryx pawsoni","Medium"
"Aetobatus flagellum","Low"
"Aetobatus narinari","Very low"
"Aetobatus ocellatus","Low"
"Aetomylaeus asperrimus","Low"
"Aetomylaeus bovinus","Very low"
"Aetomylaeus caeruleofasciatus","Medium"
"Aetomylaeus maculatus","Low"
"Aetomylaeus milvus","Low"
"Aetomylaeus nichofii","Very low"
"Aetomylaeus vespertilio","Low"
"Afronandus sheljuzhkoi","High"
"Afronemacheilus abyssinicus","High"
"Afronemacheilus kaffa","High"
"Afurcagobius suppositus","High"
"Afurcagobius tamarensis","High"
"Agamyxis albomaculatus","High"
"Agamyxis pectinifrons","High"
"Ageneiosus inermis","Medium"
"Ageneiosus magoi","Medium"
"Ageneiosus marmoratus","Medium"
"Ageneiosus militaris","Medium"
"Ageneiosus pardalis","Medium"
"Ageneiosus polystictus","Medium"
"Ageneiosus ucayalensis","Medium"
"Ageneiosus uranophthalmus","Medium"
"Ageneiosus vittatus","Medium"
"Agonomalus jordani","Low"
"Agonomalus mozinoi","Low"
"Agonomalus proboscidalis","Low"
"Agonopsis asperoculis","Medium"
"Agonopsis chiloensis","High"
"Agonopsis sterletus","High"
"Agonopsis vulsa","Medium"
"Agonostomus catalai","High"
"Agonostomus monticola","High"
"Agonostomus telfairii","High"
"Agonus cataphractus","Medium"
"Agosia chrysogaster","High"
"Aguarunichthys inpai","Medium"
"Aguarunichthys tocantinsensis","High"
"Aguarunichthys torosus","Medium"
"Ahlia egmontis","High"
"Ahliesaurus berryi","Low"
"Ahliesaurus brevis","Medium"
"Aiakas kreffti","Low"
"Aiakas zinorum","High"
"Aidablennius sphynx","High"
"Ailiichthys punctata","High"
"Aioliops megastigma","High"
"Akarotaxis nudiceps","Medium"
"Akihito futuna","High"
"Akihito vanuatu","High"
"Akko brevis","High"
"Akko dionaea","High"
"Akko rossi","High"
"Akrokolioplax bicornis","High"
"Akysis bilustris","High"
"Akysis clavulus","High"
"Akysis clinatus","High"
"Akysis ephippifer","High"
"Akysis fontaneus","High"
"Akysis fuliginatus","High"
"Akysis galeatus","High"
"Akysis hendricksoni","High"
"Akysis longifilis","High"
"Akysis maculipinnis","High"
"Akysis microps","High"
"Akysis pictus","High"
"Akysis portellus","High"
"Akysis prashadi","High"
"Akysis pulvinatus","High"
"Akysis recavus","High"
"Akysis scorteus","High"
"Akysis variegatus","High"
"Akysis varius","High"
"Akysis vespa","High"
"Akysis vespertinus","High"
"Alabes bathys","High"
"Alabes brevis","High"
"Alabes dorsalis","Medium"
"Alabes elongata","Medium"
"Alabes gibbosa","Medium"
"Alabes hoesei","High"
"Alabes obtusirostris","Medium"
"Alabes occidentalis","High"
"Alabes parvula","High"
"Alabes scotti","Medium"
"Alabes springeri","High"
"Albatrossia pectoralis","Very low"
"Albula argentea","Medium"
"Albula esuncula","High"
"Albula gilberti","High"
"Albula glossodonta","Very low"
"Albula goreensis","Medium"
"Albula koreana","High"
"Albula nemoptera","Medium"
"Albula oligolepis","High"
"Albula pacifica","Medium"
"Albula virgata","High"
"Albula vulpes","Low"
"Albulichthys albuloides","Medium"
"Alburnoides bipunctatus","Medium"
"Alburnoides coadi","High"
"Alburnoides devolli","High"
"Alburnoides economoui","High"
"Alburnoides eichwaldii","High"
"Alburnoides emineae","High"
"Alburnoides fangfangae","High"
"Alburnoides fasciatus","High"
"Alburnoides freyhofi","High"
"Alburnoides gmelini","High"
"Alburnoides holciki","High"
"Alburnoides idignensis","High"
"Alburnoides kosswigi","High"
"Alburnoides kubanicus","High"
"Alburnoides kurui","High"
"Alburnoides maculatus","High"
"Alburnoides manyasensis","High"
"Alburnoides namaki","Medium"
"Alburnoides nicolausi","High"
"Alburnoides oblongus","Medium"
"Alburnoides ohridanus","High"
"Alburnoides parhami","High"
"Alburnoides petrubanarescui","High"
"Alburnoides prespensis","High"
"Alburnoides qanati","Medium"
"Alburnoides recepi","High"
"Alburnoides rossicus","High"
"Alburnoides samiii","High"
"Alburnoides strymonicus","High"
"Alburnoides tabarestanensis","High"
"Alburnoides taeniatus","Medium"
"Alburnoides thessalicus","High"
"Alburnoides varentsovi","High"
"Alburnoides velioglui","High"
"Alburnus adanensis","Medium"
"Alburnus akili","Medium"
"Alburnus albidus","Medium"
"Alburnus alburnus","Medium"
"Alburnus amirkabiri","High"
"Alburnus arborella","Medium"
"Alburnus atropatenae","Medium"
"Alburnus attalus","Medium"
"Alburnus baliki","Medium"
"Alburnus battalgilae","Medium"
"Alburnus belvica","Medium"
"Alburnus caeruleus","Medium"
"Alburnus carinatus","Medium"
"Alburnus chalcoides","Medium"
"Alburnus danubicus","Medium"
"Alburnus demiri","Medium"
"Alburnus derjugini","High"
"Alburnus doriae","Medium"
"Alburnus escherichii","Medium"
"Alburnus filippii","Medium"
"Alburnus heckeli","Medium"
"Alburnus hohenackeri","Medium"
"Alburnus istanbulensis","Medium"
"Alburnus kotschyi","Medium"
"Alburnus leobergi","Medium"
"Alburnus macedonicus","High"
"Alburnus mandrensis","Medium"
"Alburnus mento","Medium"
"Alburnus mentoides","Medium"
"Alburnus mossulensis","Medium"
"Alburnus nasreddini","Medium"
"Alburnus neretvae","High"
"Alburnus nicaeensis","High"
"Alburnus orontis","Medium"
"Alburnus qalilus","Medium"
"Alburnus sarmaticus","Medium"
"Alburnus sava","Medium"
"Alburnus schischkovi","Medium"
"Alburnus scoranza","Medium"
"Alburnus selcuklui","High"
"Alburnus sellal","Medium"
"Alburnus tarichi","Medium"
"Alburnus thessalicus","High"
"Alburnus timarensis","High"
"Alburnus vistonicus","Medium"
"Alburnus volviticus","Medium"
"Alburnus zagrosensis","High"
"Alcichthys elongatus","Very low"
"Alcockia rostrata","Medium"
"Alcolapia alcalica","High"
"Alcolapia grahami","High"
"Alcolapia latilabris","High"
"Alcolapia ndalalani","High"
"Aldrichetta forsteri","Medium"
"Aldrovandia affinis","Low"
"Aldrovandia gracilis","Medium"
"Aldrovandia mediorostris","Medium"
"Aldrovandia oleosa","Low"
"Aldrovandia phalacra","Low"
"Aldrovandia rostrata","High"
"Alectis alexandrina","Medium"
"Alectis ciliaris","Low"
"Alectis indica","Medium"
"Alectrias alectrolophus","Medium"
"Alectrias benjamini","Medium"
"Alectrias cirratus","High"
"Alectrias gallinus","High"
"Alectrias markevichi","High"
"Alectrias mutsuensis","High"
"Alectridium aurantiacum","Medium"
"Alepes apercna","High"
"Alepes djedaba","High"
"Alepes kleinii","High"
"Alepes melanoptera","High"
"Alepes vari","Medium"
"Alepidomus evermanni","High"
"Alepisaurus ferox","Very low"
"Alepocephalus agassizii","Very low"
"Alepocephalus andersoni","Low"
"Alepocephalus antipodianus","Very low"
"Alepocephalus asperifrons","Low"
"Alepocephalus australis","Very low"
"Alepocephalus bairdii","Low"
"Alepocephalus bicolor","Medium"
"Alepocephalus blanfordii","Low"
"Alepocephalus dentifer","Medium"
"Alepocephalus fundulus","Medium"
"Alepocephalus longiceps","Medium"
"Alepocephalus longirostris","Low"
"Alepocephalus melas","Low"
"Alepocephalus owstoni","Low"
"Alepocephalus planifrons","Medium"
"Alepocephalus productus","Low"
"Alepocephalus rostratus","Very low"
"Alepocephalus tenebrosus","Medium"
"Alepocephalus triangularis","Medium"
"Alepocephalus umbriceps","Very low"
"Alestes ansorgii","High"
"Alestes baremoze","Medium"
"Alestes dentex","Medium"
"Alestes inferus","High"
"Alestes liebrechtsii","Medium"
"Alestes macrophthalmus","High"
"Alestes stuhlmannii","High"
"Alestopetersius bifasciatus","High"
"Alestopetersius brichardi","High"
"Alestopetersius caudalis","High"
"Alestopetersius compressus","High"
"Alestopetersius conspectus","High"
"Alestopetersius hilgendorfi","High"
"Alestopetersius leopoldianus","High"
"Alestopetersius nigropterus","High"
"Alestopetersius smykalai","High"
"Alestopetersius tumbensis","High"
"Alfaro cultratus","High"
"Alfaro huberi","High"
"Algansea amecae","High"
"Algansea aphanea","High"
"Algansea avia","High"
"Algansea barbata","High"
"Algansea lacustris","High"
"Algansea monticola","High"
"Algansea popoche","High"
"Algansea tincella","High"
"Alionematichthys ceylonensis","High"
"Alionematichthys crassiceps","High"
"Alionematichthys minyomma","Low"
"Alionematichthys phuketensis","High"
"Alionematichthys piger","High"
"Alionematichthys plicatosurculus","High"
"Alionematichthys riukiuensis","Low"
"Alionematichthys samoaensis","High"
"Alionematichthys shinoharai","High"
"Alionematichthys suluensis","High"
"Alionematichthys winterbottomi","High"
"Allenbatrachus grunniens","Medium"
"Allenbatrachus meridionalis","Medium"
"Allenbatrachus reticulatus","High"
"Allips concolor","Medium"
"Alloblennius anuchalis","High"
"Alloblennius frondiculus","High"
"Alloblennius jugularis","High"
"Alloblennius parvus","High"
"Alloblennius pictus","High"
"Allocareproctus jordani","Medium"
"Allocareproctus kallaion","High"
"Allocareproctus tanix","High"
"Allocareproctus unangas","High"
"Allocareproctus ungak","High"
"Allocyttus folletti","Very low"
"Allocyttus guineensis","Low"
"Allocyttus niger","Very low"
"Allocyttus verrucosus","Very low"
"Allodontichthys hubbsi","High"
"Allodontichthys polylepis","High"
"Allodontichthys zonistius","High"
"Allomogurnda flavimarginata","High"
"Allomogurnda hoesei","High"
"Allomogurnda insularis","High"
"Allomogurnda landfordi","High"
"Allomogurnda montana","High"
"Allomogurnda multicincta","High"
"Allomogurnda nesolepis","High"
"Allomogurnda papua","High"
"Allomogurnda sampricei","High"
"Allosmerus elongatus","Medium"
"Allothunnus fallai","Medium"
"Allotoca catarinae","High"
"Allotoca dugesii","High"
"Allotoca goslinei","High"
"Allotoca maculata","High"
"Allotoca meeki","High"
"Allotoca regalis","High"
"Allotoca zacapuensis","High"
"Alopias pelagicus","Very low"
"Alopias superciliosus","Low"
"Alopias vulpinus","Low"
"Alosa aestivalis","Medium"
"Alosa agone","Medium"
"Alosa alabamae","Medium"
"Alosa algeriensis","Medium"
"Alosa alosa","Medium"
"Alosa braschnikowi","High"
"Alosa caspia","Medium"
"Alosa chrysochloris","Medium"
"Alosa curensis","High"
"Alosa fallax","Medium"
"Alosa immaculata","Medium"
"Alosa kessleri","Medium"
"Alosa killarnensis","High"
"Alosa macedonica","Medium"
"Alosa maeotica","Medium"
"Alosa mediocris","Medium"
"Alosa pseudoharengus","Medium"
"Alosa sapidissima","Low"
"Alosa saposchnikowii","Medium"
"Alosa sphaerocephala","High"
"Alosa suworowi","High"
"Alosa tanaica","High"
"Alosa vistonica","High"
"Alosa volgensis","Medium"
"Alphestes afer","High"
"Alphestes immaculatus","High"
"Alphestes multiguttatus","High"
"Alticorpus geoffreyi","High"
"Alticorpus macrocleithrum","High"
"Alticorpus mentale","High"
"Alticorpus peterdaviesi","High"
"Alticorpus profundicola","High"
"Alticus anjouanae","High"
"Alticus arnoldorum","High"
"Alticus kirkii","High"
"Alticus magnusi","High"
"Alticus monochrus","High"
"Alticus montanoi","High"
"Alticus orientalis","High"
"Alticus saliens","High"
"Alticus sertatus","High"
"Alticus simplicirrus","High"
"Altolamprologus calvus","Medium"
"Altolamprologus compressiceps","Medium"
"Altrichthys azurelineatus","High"
"Altrichthys curatus","High"
"Aluterus heudelotii","Medium"
"Aluterus monoceros","Medium"
"Aluterus schoepfii","Low"
"Aluterus scriptus","Medium"
"Amamiichthys matsubarai","Low"
"Amanses scopas","High"
"Amarginops platus","High"
"Amatitlania altoflava","High"
"Amatitlania coatepeque","Medium"
"Amatitlania kanna","Medium"
"Amatitlania myrnae","High"
"Amatitlania nanolutea","High"
"Amatitlania nigrofasciata","High"
"Amatitlania sajica","High"
"Amatitlania septemfasciata","High"
"Amatitlania siquia","Medium"
"Amazonsprattus scintilla","High"
"Ambassis agassizii","High"
"Ambassis agrammus","High"
"Ambassis ambassis","High"
"Ambassis buruensis","High"
"Ambassis buton","High"
"Ambassis dussumieri","High"
"Ambassis elongata","High"
"Ambassis fontoynonti","High"
"Ambassis gymnocephalus","High"
"Ambassis interrupta","High"
"Ambassis jacksoniensis","High"
"Ambassis kopsii","High"
"Ambassis macleayi","High"
"Ambassis macracanthus","High"
"Ambassis marianus","High"
"Ambassis miops","High"
"Ambassis nalua","High"
"Ambassis natalensis","High"
"Ambassis urotaenia","High"
"Ambassis vachellii","High"
"Ambastaia nigrolineata","High"
"Ambastaia sidthimunki","High"
"Ambiserrula jugosa","Medium"
"Ambloplites ariommus","Medium"
"Ambloplites cavifrons","Medium"
"Ambloplites constellatus","Medium"
"Ambloplites rupestris","Medium"
"Amblyceps caecutiens","High"
"Amblyceps carinatum","High"
"Amblyceps cerinum","High"
"Amblyceps foratum","High"
"Amblyceps kurzii","High"
"Amblyceps laticeps","High"
"Amblyceps platycephalus","High"
"Amblyceps serratum","High"
"Amblyceps torrentis","High"
"Amblyceps tuberculatum","High"
"Amblyceps variegatum","High"
"Amblychaeturichthys hexanema","High"
"Amblychaeturichthys sciistius","High"
"Amblycirrhitus bimacula","High"
