"","type","class","order","family","genus","species","species_saup","comm_name","resilience","habitat"
"89","fish","Actinopterygii","Perciformes","Lutjanidae","Lutjanus","Lutjanus gibbus","Lutjanus gibbus","Humpback red snapper","Medium","reef-associated"
"90","fish","Actinopterygii","Perciformes","Lutjanidae","Lutjanus","Lutjanus kasmira","Lutjanus kasmira","Common bluestripe snapper","Medium","reef-associated"
"91","fish","Actinopterygii","Perciformes","Lutjanidae","Macolor","Macolor niger","Macolor niger","Black and white snapper","Medium","reef-associated"
"92","fish","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius capensis","Merluccius capensis","Shallow-water Cape hake","Low","bathydemersal"
"93","invert","Malacostraca","Decapoda","Nephropidae","Metanephrops","Metanephrops mozambicus","Metanephrops mozambicus","Mozambique lobster",NA,"benthic"
"94","invert","Malacostraca","Decapoda","Penaeidae","Metapenaeus","Metapenaeus monoceros","Metapenaeus monoceros","Speckled shrimp",NA,"benthic"
"95","fish","Elasmobranchii","Carcharhiniformes","Triakidae","Mustelus","Mustelus mustelus","Mustelus mustelus","Smooth-hound","Very low","demersal"
"96","fish","Actinopterygii","Perciformes","Acanthuridae","Naso","Naso unicornis","Naso unicornis","Bluespine unicornfish","Low","reef-associated"
"97","fish","Elasmobranchii","Hexanchiformes","Hexanchidae","Notorynchus","Notorynchus cepedianus","Notorynchus cepedianus","Broadnose sevengill shark","Very low","demersal"
"98","invert","Cephalopoda","Octopoda","Octopodidae","Octopus","Octopus cyanea","Octopus cyanea","Big blue octopus",NA,"reef-associated"
"99","fish","Actinopterygii","Perciformes","Sciaenidae","Otolithes","Otolithes ruber","Otolithes ruber","Tigertoothed croaker","Medium","benthopelagic"
"100","invert","Malacostraca","Decapoda","Palinuridae","Palinurus","Palinurus delagoae","Palinurus delagoae","Natal spiny lobster",NA,"benthic"
"101","invert","Malacostraca","Decapoda","Palinuridae","Palinurus","Palinurus gilchristi","Palinurus gilchristi","Southern spiny lobster",NA,"benthic"
"102","fish","Actinopterygii","Perciformes","Stromateidae","Pampus","Pampus argenteus","Pampus argenteus","Silver pomfret","Medium","benthopelagic"
"103","invert","Malacostraca","Decapoda","Palinuridae","Panulirus","Panulirus homarus","Panulirus homarus","Scalloped spiny lobster",NA,"benthic"
"104","fish","Actinopterygii","Perciformes","Terapontidae","Pelates","Pelates quadrilineatus","Pelates quadrilineatus","Fourlined terapon","High","reef-associated"
