"area_name","scientific_name","common_name","trawl_perc_rep","trawl_perc_tot","stockid"
"Agulhas Current","Chrysoblephus","Golden seabreams",0,0,"Agulhas Current-Chrysoblephus"
"Agulhas Current","Clupeidae","Herrings, sardines, menhadens",0,0,"Agulhas Current-Clupeidae"
"Agulhas Current","Clupeiformes","Herrings, shads, anchovies",0,0,"Agulhas Current-Clupeiformes"
"Agulhas Current","Congridae","Conger, garden eels",0,0,"Agulhas Current-Congridae"
"Agulhas Current","Conidae","Cone shells",NA,NA,"Agulhas Current-Conidae"
"Agulhas Current","Coryphaena","Dolphinfishes",0,0,"Agulhas Current-Coryphaena"
"Agulhas Current","Coryphaena hippurus","Common dolphinfish",0.707148187819752,0.707148187819752,"Agulhas Current-Coryphaena hippurus"
"Agulhas Current","Crassostrea","Cupped oysters",0,0,"Agulhas Current-Crassostrea"
"Agulhas Current","Cymatoceps nasutus","Black musselcracker",0,0,"Agulhas Current-Cymatoceps nasutus"
"Agulhas Current","Decapoda","Crabs, lobsters, shrimps",0,0,"Agulhas Current-Decapoda"
"Agulhas Current","Decapterus macrosoma","Shortfin scad",NA,NA,"Agulhas Current-Decapterus macrosoma"
"Agulhas Current","Decapterus russelli","Indian scad",NA,NA,"Agulhas Current-Decapterus russelli"
"Agulhas Current","Dendrobranchiata","Shrimps and prawns",100,100,"Agulhas Current-Dendrobranchiata"
"Agulhas Current","Diodon","Porcupinefishes",NA,NA,"Agulhas Current-Diodon"
"Agulhas Current","Diodontidae","Porcupine-, burrfishes",0,0,"Agulhas Current-Diodontidae"
"Agulhas Current","Diplodus","Two-toothed seabreams",0,0,"Agulhas Current-Diplodus"
"Agulhas Current","Donax","Bean clams",0,0,"Agulhas Current-Donax"
"Agulhas Current","Echeneidae","Remoras",0,0,"Agulhas Current-Echeneidae"
"Agulhas Current","Echidna nebulosa","Snowflake moray",NA,NA,"Agulhas Current-Echidna nebulosa"
"Agulhas Current","Elagatis bipinnulata","Rainbow runner",0,0,"Agulhas Current-Elagatis bipinnulata"
"Agulhas Current","Elasmobranchii","Sharks, rays, skates",0,0,"Agulhas Current-Elasmobranchii"
"Agulhas Current","Emmelichthys nitidus nitidus","Cape bonnetmouth",0,0,"Agulhas Current-Emmelichthys nitidus nitidus"
"Agulhas Current","Engraulidae","Anchovies, round herrings",0,0,"Agulhas Current-Engraulidae"
"Agulhas Current","Engraulis capensis","Southern African anchovy",0,0,"Agulhas Current-Engraulis capensis"
"Agulhas Current","Ephippidae","Spade-, batfishes, scats",0,0,"Agulhas Current-Ephippidae"
"Agulhas Current","Epinephelus","Seabasses, hinds",50,50,"Agulhas Current-Epinephelus"
"Agulhas Current","Epinephelus fasciatus","Blacktip grouper",0,0,"Agulhas Current-Epinephelus fasciatus"
"Agulhas Current","Epinephelus marginatus","Dusky grouper",0,0,"Agulhas Current-Epinephelus marginatus"
"Agulhas Current","Etelis coruscans","Deepwater longtail red snapper",0,0,"Agulhas Current-Etelis coruscans"
"Agulhas Current","Etrumeus whiteheadi","Whiteheads round herring",0,0,"Agulhas Current-Etrumeus whiteheadi"
"Agulhas Current","Euthynnus affinis","Kawakawa",0,0,"Agulhas Current-Euthynnus affinis"
"Agulhas Current","Fenneropenaeus indicus","Indian white prawn",42.5063548351769,42.5063548351769,"Agulhas Current-Fenneropenaeus indicus"
"Agulhas Current","Gadiformes","Cods",100,100,"Agulhas Current-Gadiformes"
"Agulhas Current","Galeichthys feliceps","White barbel",NA,NA,"Agulhas Current-Galeichthys feliceps"
"Agulhas Current","Galeocerdo cuvier","Tiger shark",0,0,"Agulhas Current-Galeocerdo cuvier"
"Agulhas Current","Galeorhinus galeus","Tope shark",0,0,"Agulhas Current-Galeorhinus galeus"
"Agulhas Current","Gazza minuta","Toothpony",NA,NA,"Agulhas Current-Gazza minuta"
"Agulhas Current","Gempylidae","Snake mackerels",0,0,"Agulhas Current-Gempylidae"
"Agulhas Current","Genypterus capensis","Kingklip",0,0,"Agulhas Current-Genypterus capensis"
"Agulhas Current","Gerreidae","Mojarras, silverbellies",0,0,"Agulhas Current-Gerreidae"
"Agulhas Current","Gerres","Silver biddies",0,0,"Agulhas Current-Gerres"
"Agulhas Current","Gerres oblongus","Slender silverbiddy",0,0,"Agulhas Current-Gerres oblongus"
"Agulhas Current","Gerres oyena","Common silverbiddy",NA,NA,"Agulhas Current-Gerres oyena"
"Agulhas Current","Geryon","Deepsea crabs",0,0,"Agulhas Current-Geryon"
"Agulhas Current","Gnathodentex aureolineatus","Striped large-eye bream",0,0,"Agulhas Current-Gnathodentex aureolineatus"
"Agulhas Current","Gobiidae","Gobies",0,0,"Agulhas Current-Gobiidae"
"Agulhas Current","Gymnocranius","Largeeye breams",0,0,"Agulhas Current-Gymnocranius"
