"source","stockid","lme","comm_name","species","year","biomass_mt","er","bbmsy","uumsy","msy_mt","bmsy_mt","umsy","r","k_mt"
"RAM","ANCHMEDGSA1","Mediterranean Sea","Anchovy","Engraulis encrasicolus",2009,845.908117463784,0.345191154892188,0.482264358274515,2.32352290329719,354.397640231693,1754.034075,0.202047181,0.2424566172,4364.598069504
"RAM","ANCHMEDGSA16","Mediterranean Sea","Anchovy","Engraulis encrasicolus",2011,9470,0.461457233368532,0.669,2.76835216898324,2358.99999344,14152,0.16669022,0.200028264,35214.70464
"RAM","ANCHMEDGSA17-18","Mediterranean Sea","Anchovy","Engraulis encrasicolus",2014,570000,0.0545614035087719,1.13966114956491,2.60416666666667,11507.0283171508,500148.6628,0.023007216,0.0276086592,1244529.9206185
"RAM","ANCHMEDGSA22","Mediterranean Sea","Anchovy","Engraulis encrasicolus",2008,39016.000586977,0.627947499267205,1.53634378642001,0.782322210978478,20384.1222651544,25395.35808,0.802671189,0.9632054268,63191.7774176256
"RAM","ANCHMEDGSA29","Black Sea","Anchovy","Engraulis encrasicolus",2014,658267.477714633,0.238504871219024,0.776659651495832,1.88571428571429,278390.564413567,847562.3479,0.328460278,0.3941523336,2109006.34152653
"RAM","ANCHMEDGSA6","Mediterranean Sea","Anchovy","Engraulis encrasicolus",2014,47300,0.355179704016913,1.04093309859155,0.894991100940758,12649.93967808,45440,0.278387757,0.3340653084,113069.2608
"RAM","ANCHMEDGSA7","Mediterranean Sea","Anchovy","Engraulis encrasicolus",2011,36200,0.0488950276243094,1.08931219861842,0.128043766469381,12690.0244434353,33231.9789,0.381861835,0.458234202,82691.797736448
"RAM","ANCHMEDGSA9","Mediterranean Sea","Anchovy","Engraulis encrasicolus",2014,13300,0.254887218045113,0.949894265233849,2.59615384615385,4109.75656689425,14001.55837,0.293521368,0.3522256416,34840.3577232384
"RAM","ANCHOSA","Agulhas Current","Anchovy","Engraulis encrasicolus",2014,4450000,0.0539325842696629,1.79478012054366,0.244757389187506,455853.677024331,2479412.352,0.183855532,0.2206266384,6169571.34372864
"RAM","ANGLMEDGSA5","Mediterranean Sea","Black bellied angler","Lophius budegassa",2013,22.8176487154329,0.486465548594953,0.562552029220156,7.6375,19.0185877041189,40.56095709,0.468889027,0.5626668324,100.928640746189
"RAM","ANGLMEDGSA6","Mediterranean Sea","Black bellied angler","Lophius budegassa",2013,1406.54788933644,0.746508531960013,1.31015605030041,6.49285714285714,852.603486862238,1073.572792,0.794173896,0.9530086752,2671.39264978944
"RAM","APOLLNSJ","Sea of Japan","Walleye pollock","Gadus chalcogrammus",2013,95800,0.103027139874739,0.108680924912147,1.4113306832156,45206.5096515,619267.2555,0.073,0.0876,1540935.09720576
"RAM","APOLLPJPN","Kuroshio Current","Walleye pollock","Gadus chalcogrammus",2013,910000,0.171428571428571,1.51903403024479,0.985221674876845,176347.698654,1013492.521,0.174,0.2088,2521893.70985472
"RAM","ARFLOUNDBSAI","East Bering Sea","Arrowtooth flounder","Atheresthes stomias",2014,878000,0.021753986332574,2.7179228480537,NA,29647.0618142508,330978.0338,0.089574107,0.1074889284,823579.261065216
"RAM","ARFLOUNDGA","Gulf of Alaska","Arrowtooth flounder","Atheresthes stomias",2014,2070000,0.017536231884058,3.31130595027282,NA,22843.0413340257,608391.8704,0.037546592,0.0450559104,1513873.65895373
"RAM","ARFLOUNDPCOAST","California Current","Arrowtooth flounder","Atheresthes stomias",2014,79100,0.018204804045512,3.08291804418484,0.22,1443.02204283695,31789.40961,0.045393169,0.0544718028,79102.2237207552
"RAM","ARGANCHONARG","Patagonian Shelf","Argentine anchoita","Engraulis anchoita",2014,2130000,0.00647887323943662,1.82022471910112,0.0255102040816327,184689.479190177,1240264.88,0.148911319,0.1786935828,3086175.9062016
"RAM","ARGHAKENARG","Patagonian Shelf","Argentine hake","Merluccius hubbsi",2014,146000,0.286301369863014,0.229841730984044,0.965699208443272,146012.693719845,751954.2014,0.194177642,0.2330131704,1871102.67842765
"RAM","ARGHAKESARG","Patagonian Shelf","Argentine hake","Merluccius hubbsi",2014,909000,0.328932893289329,0.386946386946387,1.15942028985507,522792.751487262,2592998.213,0.201617089,0.2419405068,6452209.31337216
"RAM","ATBTUNAEATL","North Atlantic Ocean","Atlantic bluefin tuna","Thunnus thynnus",2014,1901178.78126604,0.00206187868212456,NA,0.34,40252.1000489353,1117775.701,0.036010892,0.0432130704,2781383.63231232
"RAM","ATBTUNAWATL","North Atlantic Ocean","Atlantic bluefin tuna","Thunnus thynnus",2014,85412.069431966,0.0190839539521795,NA,0.88,2661.05623973333,43765.83912,0.06080213,0.072962556,108903.412799078
"RAM","ATHAL3NOPs4VWX5Zc","Scotian Shelf","Atlantic halibut","Hippoglossus hippoglossus",2013,31800,0.0720125786163522,NA,NA,2132.8802715162,22741.43784,0.093788277,0.1125459324,56587.9746060288
"RAM","ATHAL5YZ","Northeast U.S. Continental Shelf","Atlantic halibut","Hippoglossus hippoglossus",2007,1300,0.0647692307692308,0.026530612244898,0.91000000546,3499.999979,49000,0.071428571,0.0857142852,121927.68
"RAM","ATKABSAI","East Bering Sea","Atka mackerel","Pleurogrammus monopterygius",2014,581000,0.053184165232358,1.49961667101949,NA,70235.7719680682,382443.6013,0.183650012,0.2203800144,951642.061986816
"RAM","ATLCROAKMATLC","Northeast U.S. Continental Shelf","Atlantic croaker","Micropogonias undulatus",2002,80945.6694225348,0.201369636155757,2.77547352412554,0.282051282051282,6648.21150834484,29164.63397,0.227954567,0.2735454804,72570.9420002304
"RAM","ATOOTHFISHRS","Southern Ocean","Antarctic toothfish","Dissostichus mawsoni",2007,75800,0.0406332453825858,4.03145161978301,0.246424908896197,3105.40006571475,18802.1604,0.165161875,0.19819425,46785.791766528
"RAM","AUROCKPCOAST","California Current","Aurora rockfish","Sebastes aurora",2012,4330,0.00986143187066975,1.59047619047619,0.614,72.0000005354245,2673.718669,0.026928787,0.0323145444,6653.06763844608
"RAM","AUSSALMONNZ","New Zealand Shelf","Australian salmon","Arripis trutta",2013,29738.0561511944,0.0564932688087794,1.53846153846154,0.31,2406.26394921931,19329.7365,0.124485088,0.1493821056,48098.56992768
"RAM","BGRDRNSWWA","South West Australian Shelf","Blue grenadier","Macruronus novaezelandiae",2014,95066.4,0.0131592234480321,1.41940013768987,0.156657969428613,5506.0261707885,34649.52316,0.158906261,0.1906875132,86219.1014694912
"RAM","BIGEYEATL","North Atlantic Ocean","Bigeye tuna","Thunnus obesus",2014,426000,0.183568075117371,0.744,1.21,65286.9467077453,451459.7572,0.144612993,0.1735355916,1123376.3430359
"RAM","BIGEYECWPAC","North Pacific Ocean","Bigeye tuna","Thunnus obesus",2014,1500000,0.106,1.62,0.581,3263.427693667,642353.539,0.005080423,0.0060965076,1598381.15816448
"RAM","BIGEYEEPAC","South Pacific Ocean","Bigeye tuna","Thunnus obesus",2014,89877.7994611654,1.06811693850471,0.841,0.878,106201.000013846,109699.4392,0.968108869,1.1617306428,272967.308550144
"RAM","BIGEYEIO","Indian Ocean","Bigeye tuna","Thunnus obesus",2014,1074673.74694411,0.0842116039936226,1.36,0.687,104000.000213631,807569.7693,0.128781443,0.1545377316,2009492.00834458
"RAM","BIGHTREDSE","Southeast Australian Shelf","Bight redfish","Centroberyx gerrardi",2014,11900,0.02,2.81851219706901,0.195186650810038,624.746884202985,3122.014238,0.200110197,0.2401322364,7768.57046870016
"RAM","BKCDLFENI","New Zealand Shelf","Black cardinalfish","Epigonus telescopus",2009,4544.96277532753,0.215623328164525,0.25276505418389,1.07272727272727,666.00000005,6054.545455,0.11,0.132,15065.6465465856
"RAM","BKINGCRABSMI","East Bering Sea","Blue king crab","Paralithodes platypus",2008,5738.04189344426,0,1.45343631740423,0,1150.86792483925,3947.914212,0.291512901,0.3498154812,9823.67389200384
"RAM","BLACKGROUPERGMSATL","Gulf of Mexico","Black grouper","Mycteroperca bonaci",2008,8159.70693822402,0.0169123721041428,1.40023163406287,0.5,488.993336049699,5827.397939,0.08391281,0.100695372,14500.4308395725
"RAM","BLACKOREOPR","New Zealand Shelf","Black oreo","Allocyttus niger",2009,46833.5338656742,0.0715299428313122,0.814622868403494,1.53333333333333,669.99999996,7444.444444,0.09,0.108,18524.1599988941
"RAM","BLACKOREOWECR","New Zealand Shelf","Black oreo","Allocyttus niger",2007,144000,0.0122916666666667,0.991723484157947,0.395275614021787,1946.99999996858,63082.10004,0.03086454,0.037037448,156968.451171533
"RAM","BLACKROCKCAL","California Current","Black rockfish","Sebastes melanops",2014,5610,0.0677361853832442,0.774117647058824,1.068,343.000001749947,4291.036748,0.079934063,0.0959208756,10677.4725607834
"RAM","BLACKROCKORECOAST","California Current","Black rockfish","Sebastes melanops",2014,8140,0.0595823095823096,1.52396085370698,0.834,518.000000971051,5587.903016,0.092700249,0.1112402988,13904.4908327731
"RAM","BLACKROCKWASH","California Current","Black rockfish","Sebastes melanops",2014,5690,0.0625659050966608,1.0454850534359,1.072,274.337794795996,5506.537471,0.049820381,0.0597844572,13702.0273198387
"RAM","BLKMARLINIO","Indian Ocean","Black marlin","Istiompax indica",2011,34700,0.322766570605187,1.17,1.11533573235854,8604.99999388,29735,0.289389608,0.3472675296,73990.1952
"RAM","BLSHARNPAC","North Pacific Ocean","Blue shark","Prionace glauca",2011,1614277.20212239,0.0255842057025276,1.62,0.358,72123.0000075,320546.6667,0.225,0.27,797622.681682944
"RAM","BLTILESATLC","Southeast U.S. Continental Shelf","Blueline tilefish","Caulolatilus microps",2010,306.467308736263,0.649335163416251,0.859486618004866,3.53311258278146,102.751288751545,356.5701924,0.288165671,0.3457988052,887.260741152768
"RAM","BLUEFISHATLC","Southeast U.S. Continental Shelf","Bluefish","Pomatomus saltatrix",2014,94300,0.104135737009544,0.777681878663646,0.923529411764706,13967.0000076221,127682.7047,0.109388347,0.1312660164,317715.427759104
"RAM","BLUEROCKCAL","California Current","Blue rockfish","Sebastes mystinus",2007,5450,0.048256880733945,0.74849578820698,1.19106699751861,275.000001254272,4866.064,0.056513848,0.0678166176,12108.32437248
"RAM","BMACKECS","East China Sea","Spotted mackerel","Scomber australasicus",2013,134000,0.377611940298507,0.883422830417461,0.968235744355146,54757.323036,140403.3924,0.39,0.468,349368.569376768
"RAM","BMACKPJPN","Kuroshio Current","Spotted mackerel","Scomber australasicus",2013,785000,0.136305732484076,3.36549981484305,0.345953635746386,145655.783817,369684.7305,0.394,0.4728,919893.90859776
"RAM","BMARLINATL","North Atlantic Ocean","Blue marlin","Makaira nigricans",2010,14300,0.23986013986014,0.55,3.90179367095443,1999.99999853353,32514.94726,0.061510172,0.0738122064,80907.5935660032
"RAM","BMARLINIO","Indian Ocean","Indo pacific blue marlin","Makaira mazara",2011,99900,0.0987987987987988,1.03,1.0053431318761,9523.999960317,96913,0.098273709,0.1179284508,241150.55616
"RAM","BMARLINPAC","South Pacific Ocean","Blue marlin","Makaira nigricans",2011,49101.8700690457,0.354365322044407,1.29,0.72,19458.9999940996,38175.72194,0.50972186,0.611666232,94993.4124177408
"RAM","BNSNZ","New Zealand Shelf","Bluenose","Hyperoglyphe antarctica",2011,16837.5935395285,0.118781819700347,0.408073034916234,2.5071312584881,1208.99999983961,23867.09993,0.050655505,0.060786606,59388.9820978176
"RAM","BOCACCBCW","Gulf of Alaska","Bocaccio","Sebastes paucispinis",2012,1880,0.0734042553191489,0.0718517103000191,2.73689645355504,701.751919745,26165,0.026820253,0.0321843036,65106.8928
"RAM","BRNROCKPCOAST","California Current","Brown rockfish","Sebastes auriculatus",2012,1400,0.0676428571428571,0.961974649766513,0.65631067961165,149.900000018,1455.339806,0.103,0.1236,3621.35114606592
"RAM","BSBASSMATLC","Northeast U.S. Continental Shelf","Black sea bass","Centropristis striata",2014,13350.415,0.0853156999239349,0.773667999536393,0.475365746815441,3096.999996336,17256,0.179473806,0.2153685672,42938.44992
"RAM","BSBASSSATL","Southeast U.S. Continental Shelf","Black sea bass","Centropristis striata",2010,3800,0.153947368421053,0.76953125,1.03700791279509,801.499998383,5399,0.148453417,0.1781441004,13434.43968
"RAM","BUTTERGOMCHATT","Northeast U.S. Continental Shelf","Atlantic butterfish","Peprilus triacanthus",2012,101030.278459208,0.0169256189934231,1.7428095405121,0.0246913580246914,10368.7492384531,57969.77588,0.178864746,0.2146376952,144247.352717722
"RAM","CABEZNCAL","California Current","Cabezon","Scorpaenichthys marmoratus",2008,506,0.0770750988142292,1.70428015564202,0.222222222222222,129.000000006,716.6666667,0.18,0.216,1783.29600008294
"RAM","CABEZORECOAST","California Current","Cabezon","Scorpaenichthys marmoratus",2008,483,0.0894409937888199,2.07339449541284,0.559006211180124,48,300,0.16,0.192,746.496
"RAM","CABEZSCAL","California Current","Cabezon","Scorpaenichthys marmoratus",2008,758,0.0131926121372032,2.44776119402985,0.181818181818182,29.999999997,181.8181818,0.165,0.198,452.421818136576
"RAM","CALSCORPSCAL","California Current","California scorpionfish","Scorpaena guttata",2014,1580,0.0784810126582278,1.85003975292031,0.464,163.77556723393,893.3408075,0.183329325,0.21999519,2222.9177981184
"RAM","CAPENOR","Barents Sea","Capelin","Mallotus villosus",2014,1950000,0.0338461538461538,0.588431378801184,0.128674294177805,871678.46528678,3313895.333,0.263037416,0.3156448992,8246032.03501056
"RAM","CHERRCHVX","Humboldt Current","Chilean herring","Strangomera bentincki",2011,3770000,0.220954907161804,1.49567079734138,0.675915925310291,823979.312660681,2520608.149,0.326897028,0.3922764336,6272079.66931968
"RAM","CHILISPCOAST","California Current","Chilipepper","Sebastes goodei",2014,35400,0.00918079096045198,1.54255319148936,0.1844,1901.57094258038,25083.05681,0.075810973,0.0909731676,62414.6719214592
"RAM","CHROCKCPCOAST","California Current","China rockfish","Sebastes nebulosus",2014,378,0.0186243386243386,1.52307692307692,0.53,12.7748265430238,272.1700781,0.046936925,0.05632431,677.246248737792
"RAM","CHROCKNPCOAST","California Current","China rockfish","Sebastes nebulosus",2014,183,0.0165027322404372,1.83401639344262,0.484,4.80356760542459,111.1678995,0.043210024,0.0518520288,276.62130768384
"RAM","CHROCKSPCOAST","California Current","China rockfish","Sebastes nebulosus",2014,272,0.0455882352941177,0.672932330827068,1.044,25.1737892760614,342.9096419,0.073412311,0.0880947732,853.268920132608
"RAM","CHSQUIDSA","Benguela Current","Cape hope squid","Loligo reynaudii",2012,18100,0.369613259668508,0.704192474088829,1.3978249404502,6785.1706787728,25703.2,0.263981554,0.3167778648,63957.786624
"RAM","CHTRACCH","Humboldt Current","Chilean jack mackerel","Trachurus murphyi",2014,4330035.1259752,0.0946874535821833,0.179423838437388,1.18758757605482,1924146.20131061,24132997.95,0.079730923,0.0956771076,60050621.458944
"RAM","CMACKPCOAST","California Current","Pacific chub mackerel","Scomber japonicus",2014,97400,0.103696098562628,NA,NA,12619.1161113692,198391.6372,0.063607097,0.0763285164,493661.878677504
"RAM","CMACKPJPN","Kuroshio Current","Chub mackerel","Scomber japonicus",2013,1360000,0.161764705882353,0.508085072878837,0.945992432060544,355290.851025,2077724.275,0.171,0.2052,5170042.867968
"RAM","CMACKTSST","East China Sea","Chub mackerel","Scomber japonicus",2013,428000,0.39018691588785,0.450378848089864,1.07786440852997,325542.1506942,899287.7091,0.362,0.4344,2237715.59230771
"RAM","COBGM","Gulf of Mexico","Cobia","Rachycentron canadum",2011,3020,0.286754966887417,1.07021791767554,1.78835978835979,1208.00000135518,3712.68031,0.325371403,0.3904456836,9238.3366689792
"RAM","COBSATLC","Southeast U.S. Continental Shelf","Cobia","Rachycentron canadum",2011,1253.09049150725,0.0122896152387817,1.29183587928465,0.422993492407809,366.502335581252,970.0074999,0.377834538,0.4534014456,2413.68906215117
"RAM","COD2J3KL","Labrador - Newfoundland","Atlantic cod","Gadus morhua",2014,434000,0.0107122039170507,NA,NA,159440.2549,1594402.549,0.1,0.12,3967383.75072768
"RAM","COD3M","Labrador - Newfoundland","Atlantic cod","Gadus morhua",2011,58800,0.236394557823129,0.856497401699767,0.693025642477351,23378.3563992865,68651.69688,0.34053574,0.408642888,170827.390380442
"RAM","COD3NO","Labrador - Newfoundland","Atlantic cod","Gadus morhua",2011,7570,0.108190224570674,0.13478268956604,0.209356418248825,28973.3849727535,56164.48243,0.515866678,0.6190400136,139755.204920218
"RAM","COD3Pn4RS","Labrador - Newfoundland","Atlantic cod","Gadus morhua",2014,31800,0.0389937106918239,0.0447224514096673,0.515219548666203,96606.695335714,711052.2567,0.13586441,0.163037292,1769325.55139174
"RAM","COD3Ps","Labrador - Newfoundland","Atlantic cod","Gadus morhua",2014,27600,0.151811594202899,1.6,0.230536965709939,33890.4714266269,51465.14988,0.658513023,0.7902156276,128061.761749402
"RAM","COD4TVn","Scotian Shelf","Atlantic cod","Gadus morhua",2014,41953.1213491001,0.00271731867222426,0.0425061001992109,0.0426639551707055,62862.6196634206,986990.6002,0.063691204,0.0764294448,2455948.45028966
"RAM","COD4VsW","Scotian Shelf","Atlantic cod","Gadus morhua",2002,8667.46340544417,0.00957604273793258,0.0621408540376934,0.0235263839111264,45295.2830375274,139480.9186,0.324741789,0.3896901468,347073.159370752
"RAM","COD5Zjm","Northeast U.S. Continental Shelf","Atlantic cod","Gadus morhua",2014,14018.6390172851,0.0409454868830172,NA,0.363636363636364,5965.81416140511,66418.43066,0.089821667,0.1077860004,165270.309379891
"RAM","CODBA2224","Baltic Sea","Atlantic cod","Gadus morhua",2014,19300,0.595854922279793,0.390625,3.68846153846154,27557.5728571114,82124.78896,0.335557305,0.402668766,204352.754864947
"RAM","CODBA2532","Baltic Sea","Atlantic cod","Gadus morhua",2012,233000,0.28755364806867,1.74603174603175,1.24333333333333,323632.17808196,1517839.736,0.213218939,0.2558627268,3776870.97188352
"RAM","CODGB","Northeast U.S. Continental Shelf","Atlantic cod","Gadus morhua",2011,34598.7670728405,0.130929520998914,0.119012517758061,1.28333333333333,28773.9999850979,290715.3611,0.098976538,0.1187718456,723392.847332352
"RAM","CODGOM","Northeast U.S. Continental Shelf","Atlantic cod","Gadus morhua",2014,4154.32075109949,0.353848459970489,0.0430180370903548,4.98395721925134,10043.000047393,96571.60187,0.103995376,0.1247944512,240301.048365158
"RAM","CODVIa","Celtic-Biscay Shelf","Atlantic cod","Gadus morhua",2014,3540,0.471751412429379,0.115,4.49700598802395,11254.3064476689,40611.81776,0.277119003,0.3325428036,101055.198368563
"RAM","COWCODSCAL","California Current","Cowcod","Sebastes levis",2014,1080,0.00138888888888889,0.861685214626391,0.0181818181818182,69.000000025,1254.545455,0.055,0.066,3121.7105465856
"RAM","CPANDMEDGSA15-16","Mediterranean Sea","Common pandora","Pagellus erythrinus",2011,1204.29377236703,0.226688874645113,1.0103349969645,2.4,174.57284921974,1191.974717,0.146456839,0.1757482068,2966.01452780544
"RAM","CPRROCKPCOAST","California Current","Copper rockfish","Sebastes caurinus",2012,3250,0.0292615384615385,1.45199776615729,0.332954545454545,196.97000004,2238.295455,0.088,0.1056,5569.5953465856
"RAM","CRLOBSTERSA12","Benguela Current","West coast rock lobster","Jasus lalandii",2014,621,0.037037037037037,0.0233496,0.78936170212766,1249.99999996,26595.74468,0.047,0.0564,66178.7234021376
"RAM","CRLOBSTERSA34","Benguela Current","West coast rock lobster","Jasus lalandii",2014,4860,0.0539094650205761,0.0803720930232558,0.8421875,3870,60468.75,0.064,0.0768,150465.6
"RAM","CRLOBSTERSA56","Benguela Current","West coast rock lobster","Jasus lalandii",2014,3590,0.0573816155988858,0.0380506912442396,0.623913043478261,8680.00000028,94347.82609,0.092,0.1104,234767.582616269
"RAM","CRLOBSTERSA7","Benguela Current","West coast rock lobster","Jasus lalandii",2014,2860,0.0451048951048951,0.0401617021276596,0.454545454545455,7049.99999979,71212.12121,0.099,0.1188,177198.545449267
"RAM","CRLOBSTERSA8","Benguela Current","West coast rock lobster","Jasus lalandii",2014,8860,0.250564334085779,0.130294117647059,2.51,6800,68000,0.1,0.12,169205.76
"RAM","CROCKPCOAST","California Current","Canary rockfish","Sebastes pinniger",2014,34800,0.00119540229885057,1.364971298892,0.0512,1547.6559750651,33011.04241,0.046882978,0.0562595736,82142.0370496512
"RAM","CROCKWCVANISOGQCI","Gulf of Alaska","Canary rockfish","Sebastes pinniger",2009,8890,0.0899887514060742,1.37323943661972,0.737704918032787,713.7922747,5850.75635,0.122,0.1464,14558.554040832
"RAM","CSARDCSCH","Humboldt Current","Chilean sardine","Strangomera bentincki",2014,2360000,0.225847457627119,1.14,0.83,501516.004952315,1250445.315,0.401069922,0.4812839064,3111508.0862208
"RAM","CTRACSA","Agulhas Current","Cape horse mackerel","Trachurus capensis",2012,717000,0.0414225941422594,3.03,0.170833333333333,73836.9936,307654.14,0.24,0.288,765541.9496448
"RAM","DEEPFLATHEADSE","Southeast Australian Shelf","Deepwater flathead","Platycephalus conatus",2014,10300,0.0550485436893204,1.68387036240856,0.329412453455078,1200.12357579343,6066.346286,0.197833015,0.237399618,15095.0107903795
"RAM","DKROCKPCOAST","California Current","Darkblotched rockfish","Sebastes crameri",2014,17000,0.00611764705882353,0.9296875,0.226,586.500290682824,17789.01087,0.032969809,0.0395637708,44264.7515280384
"RAM","DSOLEGA","Gulf of Alaska","Dover sole","Microstomus pacificus",2014,125000,0.002592,2.44270964492571,NA,3112.01678509861,51666.70264,0.060232541,0.0722790492,128563.289513165
"RAM","DSOLEPCOAST","California Current","Dover sole","Microstomus pacificus",2010,696000,0.016235632183908,3.47908180212941,0.129770992366412,34757.0000017,265320.6107,0.131,0.1572,660202.582017024
"RAM","DUSROCKGA","Gulf of Alaska","Dusky rockfish","Sebastes variabilis",2014,67400,0.0449554896142433,1.71073996752494,NA,3740.29944470231,54206.5415,0.069000887,0.0828010644,134883.22134528
"RAM","ESOLEHS","Gulf of Alaska","English sole","Parophrys vetulus",2001,3410,0.121407624633431,1.27376189745907,0.360804814768723,905.218939191142,2677.10944,0.33813296,0.405759552,6661.5049617408
"RAM","ESOLEPCOAST","California Current","English sole","Parophrys vetulus",2006,71800,0.015041782729805,6.46644192460926,0.271428571428571,4252.0000005,15748.14815,0.27,0.324,39186.432004608
"RAM","EULAPCOASTCCDU","Gulf of Alaska","Eulachon","Thaleichthys pacificus",2007,60.3,0.0696517412935323,1.24587733816858,0.131237646246017,25.6871292750568,48.39962824,0.530729888,0.6368758656,120.433762942157
"RAM","EULAPCOASTNSDU","Gulf of Alaska","Eulachon","Thaleichthys pacificus",2009,98,0.000714285714285714,3.05920428385296,0.000855940900763454,26.7328820261063,32.03447397,0.834503543,1.0014042516,79.7120222690304
"RAM","FLSOLEBSAI","East Bering Sea","Flathead sole","Hippoglossoides elassodon",2014,739000,0.0213802435723951,2.23769714111813,NA,60864.9409547758,398588.93,0.152701032,0.1832412384,991816.8062976
"RAM","FLSOLEGA","Gulf of Alaska","Flathead sole","Hippoglossoides elassodon",2014,241000,0.0106224066390041,2.53270506541013,NA,8873.39697407549,110462.4879,0.080329505,0.096395406,274866.017891328
"RAM","GAGGM","Gulf of Mexico","Gag","Mycteroperca microlepis",2012,22154.4410106019,0.0106976294227683,0.428187822048044,0.768518518518519,1027.19224219689,51740.00723,0.019852959,0.0238235508,128745.694790554
"RAM","GAGSATLC","Southeast U.S. Continental Shelf","Gag","Mycteroperca microlepis",2012,2620,0.0935114503816794,0.971774853960801,NA,425.560388094463,3334.477092,0.127624325,0.15314919,8297.24603756544
"RAM","GEMFISHNZ","New Zealand Shelf","Common gemfish","Rexea solandri",2006,8020,0.0513715710723192,1.63613820697257,0.163836168943765,1432.04273293482,4564.599127,0.313728039,0.3764736468,11358.1832996966
"RAM","GEMFISHSE","Southeast Australian Shelf","Common gemfish","Rexea solandri",2007,3770,0.0270557029177719,0.249160913980859,0.221527060682164,1996.30454241041,16345.3701,0.122132722,0.1465592664,40672.511327232
"RAM","GHAL23KLMNO","Labrador - Newfoundland","Greenland halibut","Reinhardtius hippoglossoides",2006,76500,0.0833986928104575,0.382088470657457,1.78859615924152,35149.1523517863,200215.4105,0.175556678,0.2106680136,498200.01025536
"RAM","GHAL4RST","Labrador - Newfoundland","Greenland halibut","Reinhardtius hippoglossoides",2010,31900,0.123824451410658,0.256250513741111,3.29928980718788,4672.09737346928,124487.5553,0.037530638,0.0450367656,309764.873604096
"RAM","GHALNEAR","Barents Sea","Greenland halibut","Reinhardtius hippoglossoides",2014,684000,0.033625730994152,1.85749363271143,0.312712473091212,38270.7457275273,368238.1398,0.103929337,0.1247152044,916294.328027136
"RAM","GOPHERSPCOAST","California Current","Gopher rockfish","Sebastes carnatus",2004,2630,0.0191254752851711,2.6039603960396,0.191,101,1010,0.1,0.12,2513.2032
